Game Link,Target Team,Opponent,Date,Ball possession For,Ball possession Against,Big chances For,Big chances Against,Total shots For,Total shots Against,Goalkeeper saves For,Goalkeeper saves Against,Corner kicks For,Corner kicks Against,Fouls For,Fouls Against,Passes For,Passes Against,Tackles For,Tackles Against,Free kicks For,Free kicks Against,Yellow cards For,Yellow cards Against,Red cards For,Red cards Against,Shots on target For,Shots on target Against,Hit woodwork For,Hit woodwork Against,Shots off target For,Shots off target Against,Blocked shots For,Blocked shots Against,Shots inside box For,Shots inside box Against,Shots outside box For,Shots outside box Against,Big chances scored For,Big chances scored Against,Big chances missed For,Big chances missed Against,Through balls For,Through balls Against,Touches in penalty area For,Touches in penalty area Against,Fouled in final third For,Fouled in final third Against,Offsides For,Offsides Against,Accurate passes For,Accurate passes Against,Throw-ins For,Throw-ins Against,Final third entries For,Final third entries Against,Long balls For,Long balls Against,Crosses For,Crosses Against,Duels For,Duels Against,Dispossessed For,Dispossessed Against,Ground duels For,Ground duels Against,Aerial duels For,Aerial duels Against,Dribbles For,Dribbles Against,Tackles won For,Tackles won Against,Total tackles For,Total tackles Against,Interceptions For,Interceptions Against,Recoveries For,Recoveries Against,Clearances For,Clearances Against,Goals prevented For,Goals prevented Against,Goal kicks For,Goal kicks Against,Goals For,Goals Against
https://www.sofascore.com/netherlands-scotland/VTbsfUb#id:11900205,Scotland,Netherlands,"22/03/2024, 12:45",47%,53%,3,5,13,13,2,2,2,2,12,10,483,570,6,12,10,12,2,1,No information,No information,2,6,2,0,9,4,2,3,8,9,5,4,0,3,3,2,0,3,No information,No information,3,1,2,3,416,500,16,13,53,43,31/54 (57%),20/37 (54%),6/20 (30%),2/7 (29%),39%,61%,5,1,22/54 (41%),32/54 (59%),5/15 (33%),10/15 (67%),6/13 (46%),8/13 (62%),67%,75%,6,12,14,6,59,58,10,17,No information,No information,5,10,0,4
https://www.sofascore.com/northern-ireland-scotland/VTbsLVb#id:11900221,Scotland,Northern ireland,"26/03/2024, 12:45",82%,18%,1,1,14,4,0,2,7,1,7,13,794,172,15,16,13,7,1,1,No information,No information,2,1,0,0,4,3,8,0,7,2,7,2,No information,No information,1,1,No information,No information,No information,No information,3,0,2,4,711,108,34,14,88,42,29/50 (58%),8/42 (19%),10/29 (34%),0/4 (0%),61%,39%,8,9,40/64 (63%),24/64 (38%),17/29 (59%),12/29 (41%),14/22 (64%),3/9 (33%),87%,75%,15,16,4,8,45,44,4,29,No information,No information,4,14,1,0
https://www.sofascore.com/poland-scotland/VTbsdUb#id:10194024,Scotland,Poland,"24/03/2022, 12:45",52%,48%,No information,No information,15,9,0,6,6,1,12,18,No information,No information,No information,No information,20,17,0,1,0,0,7,1,No information,No information,6,5,2,3,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,5,2,No information,No information,21,20,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,6,12,1,1
https://www.sofascore.com/scotland-cyprus/HObsVTb#id:10752383,Scotland,Cyprus,"25/03/2023, 07:00",43%,57%,0,3,5,14,1,3,0,2,12,11,461,597,14,14,10,12,3,0,No information,No information,3,4,0,1,1,6,1,4,1,7,4,7,0,2,0,1,0,1,No information,No information,2,3,3,1,399,542,19,20,42,54,26/52 (50%),48/71 (68%),0/6 (0%),4/13 (31%),48%,52%,4,7,29/62 (47%),33/62 (53%),10/20 (50%),10/20 (50%),6/16 (38%),7/14 (50%),71%,64%,14,14,8,6,46,56,13,4,No information,No information,8,8,3,0
https://www.sofascore.com/scotland-cyprus/HObsVTb#id:10752471,Scotland,Cyprus,"08/09/2023, 11:45",57%,43%,3,0,14,5,3,1,2,0,11,12,597,461,14,14,12,10,0,3,No information,No information,4,3,1,0,6,1,4,1,7,1,7,4,2,0,1,0,1,0,No information,No information,3,2,1,3,542,399,20,19,54,42,48/71 (68%),26/52 (50%),4/13 (31%),0/6 (0%),52%,48%,7,4,33/62 (53%),29/62 (47%),10/20 (50%),10/20 (50%),7/14 (50%),6/16 (38%),64%,71%,14,14,6,8,56,46,4,13,No information,No information,8,8,0,3
https://www.sofascore.com/scotland-denmark/BObsVTb#id:9223956,Scotland,Denmark,"15/11/2021, 11:45",41%,59%,3,0,9,10,2,2,10,6,6,8,389,575,9,10,8,4,0,1,No information,No information,5,2,1,0,2,2,2,6,6,6,3,4,1,0,2,0,1,0,No information,No information,0,1,1,1,296,481,21,25,58,39,33/71 (46%),22/42 (52%),5/25 (20%),3/27 (11%),52%,48%,3,6,23/41 (56%),18/41 (44%),15/32 (47%),17/32 (53%),6/13 (46%),5/8 (63%),33%,40%,9,10,13,11,No information,No information,28,29,No information,No information,8,8,2,0
https://www.sofascore.com/scotland-france/GObsVTb#id:11277344,Scotland,France,"17/10/2023, 12:00",48%,52%,1,7,6,17,4,3,1,2,23,13,523,581,9,12,13,22,3,0,No information,No information,4,8,0,2,2,5,0,4,4,13,2,4,1,4,0,3,0,2,No information,No information,4,5,1,4,460,523,16,12,35,62,17/34 (50%),35/54 (65%),2/8 (25%),2/8 (25%),38%,62%,8,4,25/70 (36%),45/70 (64%),7/14 (50%),7/14 (50%),4/8 (50%),12/17 (71%),56%,58%,9,12,6,12,42,48,8,8,No information,No information,4,3,1,4
https://www.sofascore.com/scotland-ireland/TTbsVTb#id:10023405,Scotland,Ireland,"11/06/2022, 09:00",39%,61%,1,2,9,14,1,3,3,9,17,13,339,540,17,10,11,16,5,3,No information,No information,4,3,0,0,3,5,2,6,6,9,3,5,0,2,1,0,No information,No information,No information,No information,1,5,3,0,277,461,5,18,44,40,33/59 (56%),24/55 (44%),2/15 (13%),7/23 (30%),54%,46%,7,12,31/62 (50%),31/62 (50%),24/40 (60%),16/40 (40%),3/6 (50%),5/10 (50%),65%,80%,17,10,10,6,No information,No information,26,10,No information,No information,8,6,0,3
https://www.sofascore.com/scotland-norway/AObsVTb#id:10752428,Scotland,Norway,"17/06/2023, 09:00",50%,50%,4,2,13,9,0,3,4,6,20,14,455,447,13,10,14,19,3,1,No information,No information,7,2,0,0,3,3,3,4,10,6,3,3,2,1,2,1,No information,No information,No information,No information,1,2,No information,No information,396,390,19,14,44,45,24/49 (49%),28/45 (62%),6/18 (33%),3/21 (14%),50%,50%,5,7,34/66 (52%),32/66 (48%),9/20 (45%),11/20 (55%),7/12 (58%),4/10 (40%),69%,70%,13,10,8,5,40,38,15,9,No information,No information,7,7,1,2
https://www.sofascore.com/scotland-norway/AObsVTb#id:10752582,Scotland,Norway,"19/11/2023, 11:45",50%,50%,2,4,9,13,3,0,6,4,14,20,447,455,10,13,19,14,1,3,No information,No information,2,7,0,0,3,3,4,3,6,10,3,3,1,2,1,2,No information,No information,No information,No information,2,1,No information,No information,390,396,14,19,45,44,28/45 (62%),24/49 (49%),3/21 (14%),6/18 (33%),50%,50%,7,5,32/66 (48%),34/66 (52%),11/20 (55%),9/20 (45%),4/10 (40%),7/12 (58%),70%,69%,10,13,5,8,38,40,9,15,No information,No information,7,7,3,3
https://www.sofascore.com/spain-scotland/VTbsYTb#id:10752407,Scotland,Spain,"28/03/2023, 11:45",74%,26%,4,3,18,4,1,2,7,1,15,8,637,223,8,9,8,15,4,3,No information,No information,5,1,1,0,8,2,5,1,14,4,4,0,2,0,2,3,1,0,No information,No information,1,1,3,1,574,153,16,11,69,35,39/52 (75%),26/59 (44%),6/31 (19%),1/8 (13%),45%,55%,4,5,20/46 (43%),26/46 (57%),14/30 (47%),16/30 (53%),6/11 (55%),3/6 (50%),38%,78%,8,9,0,12,51,44,10,24,No information,No information,5,16,2,0
https://www.sofascore.com/spain-scotland/VTbsYTb#id:10752507,Scotland,Spain,"12/10/2023, 11:45",26%,74%,3,4,4,18,2,1,1,7,8,15,223,637,9,8,15,8,3,4,No information,No information,1,5,0,1,2,8,1,5,4,14,0,4,0,2,3,2,0,1,No information,No information,1,1,1,3,153,574,11,16,35,69,26/59 (44%),39/52 (75%),1/8 (13%),6/31 (19%),55%,45%,5,4,26/46 (57%),20/46 (43%),16/30 (53%),14/30 (47%),3/6 (50%),6/11 (55%),78%,38%,9,8,12,0,44,51,24,10,No information,No information,16,5,0,2
https://www.sofascore.com/switzerland-scotland/VTbsZTb#id:11873903,Scotland,Switzerland,"19/06/2024, 12:00",48%,52%,2,2,12,11,3,2,5,8,11,11,374,420,8,9,11,11,3,2,No information,No information,3,4,1,0,5,6,4,1,9,9,3,2,No information,No information,2,2,No information,No information,25,17,4,1,0,5,287,344,24,22,41,51,23/57 (40%),29/56 (52%),9/23 (39%),2/15 (13%),55%,45%,8,4,21/46 (46%),25/46 (54%),25/38 (66%),13/38 (34%),2/3 (67%),5/9 (56%),63%,56%,8,9,2,8,34,39,18,24,-0.17,0.22,9,4,1,1
https://www.sofascore.com/turkey-scotland/VTbsaUb#id:10751616,Scotland,Türkiye,"16/11/2022, 09:00",47%,53%,1,1,9,16,5,0,6,6,12,14,440,507,10,13,14,12,2,2,No information,No information,1,7,0,1,5,4,3,5,7,11,2,5,No information,No information,1,1,2,3,No information,No information,0,2,1,4,359,426,12,18,45,41,34/62 (55%),34/65 (52%),5/16 (31%),4/14 (29%),48%,52%,4,6,29/57 (51%),28/57 (49%),9/22 (41%),13/22 (59%),5/14 (36%),3/7 (43%),70%,62%,10,13,7,6,No information,No information,12,18,No information,No information,7,10,1,2
https://www.sofascore.com/ukraine-scotland/VTbsbUb#id:10023321,Scotland,Ukraine,"21/09/2022, 11:45",54%,46%,4,0,12,7,1,3,5,5,14,6,467,397,13,8,6,14,4,3,No information,No information,3,1,0,0,7,3,2,3,8,3,4,4,No information,No information,4,0,1,0,No information,No information,1,4,5,1,379,308,30,23,53,66,26/55 (47%),37/71 (52%),5/18 (28%),1/16 (6%),47%,53%,5,5,26/52 (50%),26/52 (50%),11/26 (42%),15/26 (58%),7/10 (70%),5/13 (38%),46%,50%,13,8,16,11,No information,No information,12,10,No information,No information,5,11,3,0
https://www.sofascore.com/ukraine-scotland/VTbsbUb#id:10023418,Scotland,Ukraine,"27/09/2022, 11:45",46%,54%,0,4,7,12,3,1,5,5,6,14,397,467,8,13,14,6,3,4,No information,No information,1,3,0,0,3,7,3,2,3,8,4,4,No information,No information,0,4,0,1,No information,No information,4,1,1,5,308,379,23,30,66,53,37/71 (52%),26/55 (47%),1/16 (6%),5/18 (28%),53%,47%,5,5,26/52 (50%),26/52 (50%),15/26 (58%),11/26 (42%),5/13 (38%),7/10 (70%),50%,46%,8,13,11,16,No information,No information,10,12,No information,No information,11,5,0,0
https://www.sofascore.com/ukraine-scotland/VTbsbUb#id:10255456,Scotland,Ukraine,"01/06/2022, 11:45",54%,46%,4,0,12,7,1,3,5,5,14,6,467,397,13,8,6,14,4,3,No information,No information,3,1,0,0,7,3,2,3,8,3,4,4,No information,No information,4,0,1,0,No information,No information,1,4,5,1,379,308,30,23,53,66,26/55 (47%),37/71 (52%),5/18 (28%),1/16 (6%),47%,53%,5,5,26/52 (50%),26/52 (50%),11/26 (42%),15/26 (58%),7/10 (70%),5/13 (38%),46%,50%,13,8,16,11,No information,No information,12,10,No information,No information,5,11,3,1
