Game Link,Target Team,Opponent,Date,Ball possession For,Ball possession Against,Big chances For,Big chances Against,Total shots For,Total shots Against,Goalkeeper saves For,Goalkeeper saves Against,Corner kicks For,Corner kicks Against,Fouls For,Fouls Against,Passes For,Passes Against,Tackles For,Tackles Against,Free kicks For,Free kicks Against,Yellow cards For,Yellow cards Against,Red cards For,Red cards Against,Shots on target For,Shots on target Against,Hit woodwork For,Hit woodwork Against,Shots off target For,Shots off target Against,Blocked shots For,Blocked shots Against,Shots inside box For,Shots inside box Against,Shots outside box For,Shots outside box Against,Big chances scored For,Big chances scored Against,Big chances missed For,Big chances missed Against,Through balls For,Through balls Against,Touches in penalty area For,Touches in penalty area Against,Fouled in final third For,Fouled in final third Against,Offsides For,Offsides Against,Accurate passes For,Accurate passes Against,Throw-ins For,Throw-ins Against,Final third entries For,Final third entries Against,Long balls For,Long balls Against,Crosses For,Crosses Against,Duels For,Duels Against,Dispossessed For,Dispossessed Against,Ground duels For,Ground duels Against,Aerial duels For,Aerial duels Against,Dribbles For,Dribbles Against,Tackles won For,Tackles won Against,Total tackles For,Total tackles Against,Interceptions For,Interceptions Against,Recoveries For,Recoveries Against,Clearances For,Clearances Against,Goals prevented For,Goals prevented Against,Goal kicks For,Goal kicks Against,Goals For,Goals Against
https://www.sofascore.com/bulgaria-albania/PTbsqUb#id:11635609,Albania,Bulgaria,"17/10/2023, 09:00",60%,40%,No information,No information,9,6,1,3,6,0,10,14,No information,No information,No information,No information,15,12,2,3,0,0,5,1,No information,No information,1,4,3,1,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,2,1,No information,No information,18,16,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,9,4,2,0
https://www.sofascore.com/chile-albania/PTbseVb#id:12144663,Albania,Chile,"22/03/2024, 12:45",55%,45%,0,1,7,9,1,0,4,4,9,13,585,490,14,17,13,8,2,2,No information,No information,0,4,0,0,3,3,4,2,2,4,5,5,0,1,No information,No information,No information,No information,No information,No information,0,1,1,2,536,427,13,16,46,41,27/37 (73%),23/47 (49%),1/16 (6%),1/10 (10%),50%,49%,9,7,35/67 (52%),31/66 (47%),5/13 (38%),8/13 (62%),8/17 (47%),6/13 (46%),50%,59%,14,17,9,3,42,45,11,11,No information,No information,7,7,3,0
https://www.sofascore.com/croatia-albania/PTbspUb#id:11873906,Albania,Croatia,"19/06/2024, 06:00",33%,67%,4,4,15,22,8,5,1,3,11,15,311,634,11,17,14,11,3,1,No information,No information,7,10,0,0,2,7,6,5,9,15,6,7,2,1,2,3,0,1,19,36,2,3,4,0,247,572,8,14,28,80,29/60 (48%),12/29 (41%),4/12 (33%),9/29 (31%),36%,64%,11,6,28/72 (39%),44/72 (61%),8/28 (29%),20/28 (71%),3/9 (33%),16/21 (76%),64%,71%,11,17,9,14,57,60,26,7,0.92,0.43,11,4,2,2
https://www.sofascore.com/czech-republic-albania/PTbsoUb#id:10752464,Albania,Czechia,"07/09/2023, 11:45",43%,57%,0,3,1,12,3,0,1,4,9,14,393,498,16,16,14,8,2,2,No information,No information,1,4,0,0,0,6,0,2,0,9,1,3,0,1,0,2,1,1,No information,No information,2,2,3,3,290,393,21,22,58,71,28/77 (36%),26/48 (54%),1/4 (25%),10/24 (42%),52%,48%,10,10,38/67 (57%),29/67 (43%),17/38 (45%),21/38 (55%),8/14 (57%),5/11 (45%),50%,75%,16,16,13,2,63,74,25,8,No information,No information,12,6,1,1
https://www.sofascore.com/czech-republic-albania/PTbsoUb#id:10752511,Albania,Czechia,"12/10/2023, 11:45",36%,64%,2,0,8,13,7,1,1,4,10,10,349,597,12,15,9,9,1,4,0,1,4,7,0,0,4,2,0,4,4,7,4,6,2,0,No information,No information,1,0,No information,No information,0,2,2,2,265,511,15,32,30,70,23/64 (36%),24/46 (52%),0/3 (0%),9/41 (22%),49%,51%,10,3,31/60 (52%),29/60 (48%),14/31 (45%),17/31 (55%),10/15 (67%),5/14 (36%),83%,67%,12,15,15,5,69,61,38,4,No information,No information,7,5,3,0
https://www.sofascore.com/england-albania/PTbsnUb#id:9223730,Albania,England,"28/03/2021, 09:00",64%,36%,4,1,15,5,4,1,4,0,3,14,667,389,14,20,11,3,0,4,No information,No information,6,4,0,0,6,0,3,1,12,2,3,3,4,0,0,1,1,0,No information,No information,2,0,1,3,580,316,17,10,55,18,31/52 (60%),20/54 (37%),5/13 (38%),0/1 (0%),63%,37%,10,9,43/71 (61%),28/71 (39%),14/20 (70%),6/20 (30%),18/28 (64%),5/10 (50%),57%,55%,14,20,5,16,No information,No information,4,16,No information,No information,0,12,2,0
https://www.sofascore.com/england-albania/PTbsnUb#id:9223883,Albania,England,"12/11/2021, 11:45",36%,64%,1,4,5,15,1,4,0,4,14,3,389,667,20,14,3,11,4,0,No information,No information,4,6,0,0,0,6,1,3,2,12,3,3,0,4,1,0,0,1,No information,No information,0,2,3,1,316,580,10,17,18,55,20/54 (37%),31/52 (60%),0/1 (0%),5/13 (38%),37%,63%,9,10,28/71 (39%),43/71 (61%),6/20 (30%),14/20 (70%),5/10 (50%),18/28 (64%),55%,57%,20,14,16,5,No information,No information,16,4,No information,No information,12,0,0,5
https://www.sofascore.com/estonia-albania/PTbsjVb#id:10326221,Albania,Estonia,"13/06/2022, 09:00",57%,43%,No information,No information,6,1,0,3,5,2,8,8,No information,No information,No information,No information,8,8,1,2,0,0,3,0,No information,No information,3,1,0,0,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,0,0,No information,No information,29,12,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,6,10,0,0
https://www.sofascore.com/faroe-islands-albania/PTbskVb#id:10752453,Albania,Faroe islands,"20/06/2023, 11:45",36%,64%,0,1,10,8,4,0,3,2,17,6,360,641,21,15,6,14,2,1,No information,No information,0,4,0,0,6,2,4,2,7,5,3,3,No information,No information,0,1,0,2,No information,No information,3,2,0,5,263,546,21,29,49,67,29/70 (41%),48/76 (63%),5/14 (36%),3/12 (25%),50%,50%,12,8,31/66 (47%),35/66 (53%),24/43 (56%),19/43 (44%),4/7 (57%),7/20 (35%),52%,73%,21,15,10,3,63,60,22,19,No information,No information,5,6,1,3
https://www.sofascore.com/faroe-islands-albania/PTbskVb#id:10752589,Albania,Faroe islands,"20/11/2023, 11:45",64%,36%,1,0,8,10,0,4,2,3,6,17,641,360,15,21,14,6,1,2,No information,No information,4,0,0,0,2,6,2,4,5,7,3,3,No information,No information,1,0,2,0,No information,No information,2,3,5,0,546,263,29,21,67,49,48/76 (63%),29/70 (41%),3/12 (25%),5/14 (36%),50%,50%,8,12,35/66 (53%),31/66 (47%),19/43 (44%),24/43 (56%),7/20 (35%),4/7 (57%),73%,52%,15,21,3,10,60,63,19,22,No information,No information,6,5,0,0
