Game Link,Target Team,Opponent,Date,Ball possession For,Ball possession Against,Big chances For,Big chances Against,Total shots For,Total shots Against,Goalkeeper saves For,Goalkeeper saves Against,Corner kicks For,Corner kicks Against,Fouls For,Fouls Against,Passes For,Passes Against,Tackles For,Tackles Against,Free kicks For,Free kicks Against,Yellow cards For,Yellow cards Against,Red cards For,Red cards Against,Shots on target For,Shots on target Against,Hit woodwork For,Hit woodwork Against,Shots off target For,Shots off target Against,Blocked shots For,Blocked shots Against,Shots inside box For,Shots inside box Against,Shots outside box For,Shots outside box Against,Big chances scored For,Big chances scored Against,Big chances missed For,Big chances missed Against,Through balls For,Through balls Against,Touches in penalty area For,Touches in penalty area Against,Fouled in final third For,Fouled in final third Against,Offsides For,Offsides Against,Accurate passes For,Accurate passes Against,Throw-ins For,Throw-ins Against,Final third entries For,Final third entries Against,Long balls For,Long balls Against,Crosses For,Crosses Against,Duels For,Duels Against,Dispossessed For,Dispossessed Against,Ground duels For,Ground duels Against,Aerial duels For,Aerial duels Against,Dribbles For,Dribbles Against,Tackles won For,Tackles won Against,Total tackles For,Total tackles Against,Interceptions For,Interceptions Against,Recoveries For,Recoveries Against,Clearances For,Clearances Against,Goals prevented For,Goals prevented Against,Goal kicks For,Goal kicks Against,Goals For,Goals Against
https://www.sofascore.com/italy-ukraine/bUbshUb#id:10752500,Ukraine,Italy,"12/09/2023, 11:45",58%,42%,2,1,17,7,4,2,9,4,9,14,535,386,13,12,14,8,1,1,No information,No information,2,4,0,0,8,2,7,1,8,3,9,4,No information,No information,2,1,1,0,No information,No information,0,2,3,1,454,312,16,7,51,43,26/44 (59%),19/47 (40%),7/21 (33%),1/11 (9%),62%,38%,3,6,35/59 (59%),24/59 (41%),15/22 (68%),7/22 (32%),8/17 (47%),4/11 (36%),54%,75%,13,12,7,8,56,53,12,24,No information,No information,5,9,1,2
https://www.sofascore.com/italy-ukraine/bUbshUb#id:10752586,Ukraine,Italy,"20/11/2023, 11:45",42%,58%,1,2,7,17,2,4,4,9,14,9,386,535,12,13,8,14,1,1,No information,No information,4,2,0,0,2,8,1,7,3,8,4,9,No information,No information,1,2,0,1,No information,No information,2,0,1,3,312,454,7,16,43,51,19/47 (40%),26/44 (59%),1/11 (9%),7/21 (33%),38%,62%,6,3,24/59 (41%),35/59 (59%),7/22 (32%),15/22 (68%),4/11 (36%),8/17 (47%),75%,54%,12,13,8,7,53,56,24,12,No information,No information,9,5,0,0
https://www.sofascore.com/kazakhstan-ukraine/bUbsxVb#id:9223724,Ukraine,Kazakhstan,"31/03/2021, 11:45",41%,59%,0,7,11,25,7,4,3,4,11,8,407,576,9,6,8,10,2,2,No information,No information,6,9,0,3,3,7,2,9,3,16,8,9,0,1,0,6,0,2,No information,No information,0,3,1,1,316,494,12,15,44,62,28/68 (41%),22/45 (49%),1/16 (6%),8/19 (42%),45%,55%,5,7,23/55 (42%),32/55 (58%),15/30 (50%),15/30 (50%),6/7 (86%),16/18 (89%),44%,67%,9,6,15,10,No information,No information,13,8,No information,No information,16,7,1,1
https://www.sofascore.com/kazakhstan-ukraine/bUbsxVb#id:9223816,Ukraine,Kazakhstan,"01/09/2021, 07:00",59%,41%,7,0,25,11,4,7,4,3,8,11,576,407,6,9,10,8,2,2,No information,No information,9,6,3,0,7,3,9,2,16,3,9,8,1,0,6,0,2,0,No information,No information,3,0,1,1,494,316,15,12,62,44,22/45 (49%),28/68 (41%),8/19 (42%),1/16 (6%),55%,45%,7,5,32/55 (58%),23/55 (42%),15/30 (50%),15/30 (50%),16/18 (89%),6/7 (86%),67%,44%,6,9,10,15,No information,No information,8,13,No information,No information,7,16,2,2
https://www.sofascore.com/moldova-ukraine/bUbsHVb#id:12258887,Ukraine,Moldova,"11/06/2024, 09:00",68%,32%,4,0,15,9,2,4,3,5,14,8,715,324,10,12,8,13,2,0,No information,No information,8,2,0,0,5,4,2,3,10,5,5,4,4,0,No information,No information,2,0,23,16,1,3,1,1,659,264,16,16,74,41,25/35 (71%),33/65 (51%),1/12 (8%),4/15 (27%),49%,51%,3,2,27/57 (47%),30/57 (53%),7/13 (54%),6/13 (46%),9/18 (50%),5/13 (38%),50%,67%,10,12,2,12,44,38,7,8,No information,No information,4,14,0,4
https://www.sofascore.com/netherlands-ukraine/bUbsfUb#id:8513129,Ukraine,Netherlands,"13/06/2021, 12:00",38%,62%,1,3,7,15,4,3,1,5,8,8,414,661,28,10,7,8,1,0,No information,No information,5,7,0,0,1,4,1,4,3,8,4,7,1,1,0,2,No information,No information,No information,No information,0,2,1,2,339,593,10,21,25,77,23/45 (51%),21/39 (54%),3/7 (43%),4/14 (29%),55%,45%,7,15,43/74 (58%),31/74 (42%),8/18 (44%),10/18 (56%),7/10 (70%),13/27 (48%),43%,60%,28,10,14,6,No information,No information,21,8,-0.96,-0.57,9,3,2,3
https://www.sofascore.com/north-macedonia-ukraine/bUbsCVb#id:10752416,Ukraine,North macedonia,"16/06/2023, 11:45",55%,45%,2,5,14,18,5,5,3,11,4,12,433,353,16,14,12,4,2,2,No information,No information,5,7,0,2,5,8,4,3,9,8,5,10,No information,No information,2,5,1,1,No information,No information,1,2,1,0,360,290,22,21,55,32,33/59 (56%),29/48 (60%),1/14 (7%),3/15 (20%),55%,45%,7,9,42/69 (61%),27/69 (39%),6/18 (33%),12/18 (67%),14/21 (67%),9/16 (56%),63%,64%,16,14,4,9,52,46,16,17,No information,No information,10,6,2,3
https://www.sofascore.com/north-macedonia-ukraine/bUbsCVb#id:10752523,Ukraine,North macedonia,"14/10/2023, 06:00",45%,55%,5,2,18,14,5,5,11,3,12,4,353,433,14,16,4,12,2,2,No information,No information,7,5,2,0,8,5,3,4,8,9,10,5,No information,No information,5,2,1,1,No information,No information,2,1,0,1,290,360,21,22,32,55,29/48 (60%),33/59 (56%),3/15 (20%),1/14 (7%),45%,55%,9,7,27/69 (39%),42/69 (61%),12/18 (67%),6/18 (33%),9/16 (56%),14/21 (67%),64%,63%,14,16,9,4,46,52,17,16,No information,No information,6,10,2,0
https://www.sofascore.com/north-macedonia-ukraine/bUbsCVb#id:8602446,Ukraine,North macedonia,"17/06/2021, 06:00",45%,55%,5,2,18,14,5,5,11,3,12,4,353,433,14,16,4,12,2,2,No information,No information,7,5,2,0,8,5,3,4,8,9,10,5,No information,No information,5,2,1,1,No information,No information,2,1,0,1,290,360,21,22,32,55,29/48 (60%),33/59 (56%),3/15 (20%),1/14 (7%),45%,55%,9,7,27/69 (39%),42/69 (61%),12/18 (67%),6/18 (33%),9/16 (56%),14/21 (67%),64%,63%,14,16,9,4,46,52,17,16,No information,No information,6,10,2,1
https://www.sofascore.com/northern-ireland-ukraine/bUbsLVb#id:9536907,Ukraine,Northern ireland,"03/06/2021, 11:00",63%,37%,No information,No information,12,5,1,4,3,3,15,6,No information,No information,No information,No information,7,17,1,1,0,0,4,1,No information,No information,8,4,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,2,1,No information,No information,10,19,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,7,9,1,0
