Game Link,Target Team,Opponent,Date,Ball possession For,Ball possession Against,Big chances For,Big chances Against,Total shots For,Total shots Against,Goalkeeper saves For,Goalkeeper saves Against,Corner kicks For,Corner kicks Against,Fouls For,Fouls Against,Passes For,Passes Against,Tackles For,Tackles Against,Free kicks For,Free kicks Against,Yellow cards For,Yellow cards Against,Red cards For,Red cards Against,Shots on target For,Shots on target Against,Hit woodwork For,Hit woodwork Against,Shots off target For,Shots off target Against,Blocked shots For,Blocked shots Against,Shots inside box For,Shots inside box Against,Shots outside box For,Shots outside box Against,Big chances scored For,Big chances scored Against,Big chances missed For,Big chances missed Against,Through balls For,Through balls Against,Touches in penalty area For,Touches in penalty area Against,Fouled in final third For,Fouled in final third Against,Offsides For,Offsides Against,Accurate passes For,Accurate passes Against,Throw-ins For,Throw-ins Against,Final third entries For,Final third entries Against,Long balls For,Long balls Against,Crosses For,Crosses Against,Duels For,Duels Against,Dispossessed For,Dispossessed Against,Ground duels For,Ground duels Against,Aerial duels For,Aerial duels Against,Dribbles For,Dribbles Against,Tackles won For,Tackles won Against,Total tackles For,Total tackles Against,Interceptions For,Interceptions Against,Recoveries For,Recoveries Against,Clearances For,Clearances Against,Goals prevented For,Goals prevented Against,Goal kicks For,Goal kicks Against,Goals For,Goals Against
https://www.sofascore.com/england-albania/PTbsnUb#id:9223883,England,Albania,"12/11/2021, 11:45",64%,36%,4,1,15,5,4,1,4,0,3,14,667,389,14,20,11,3,0,4,No information,No information,6,4,0,0,6,0,3,1,12,2,3,3,4,0,0,1,1,0,No information,No information,2,0,1,3,580,316,17,10,55,18,31/52 (60%),20/54 (37%),5/13 (38%),0/1 (0%),63%,37%,10,9,43/71 (61%),28/71 (39%),14/20 (70%),6/20 (30%),18/28 (64%),5/10 (50%),57%,55%,14,20,5,16,No information,No information,4,16,No information,No information,0,12,5,0
https://www.sofascore.com/england-bosnia-and-herzegovina/EObsnUb#id:12076180,England,Bosnia & herzegovina,"03/06/2024, 11:45",70%,30%,6,0,25,1,0,5,11,2,7,16,662,279,10,15,16,7,2,2,No information,No information,8,0,0,0,5,0,12,1,18,0,7,1,2,0,4,0,1,0,46,4,2,0,1,1,597,206,21,10,60,16,23/40 (58%),14/42 (33%),10/20 (50%),1/5 (20%),60%,40%,6,8,35/59 (59%),24/59 (41%),17/27 (63%),10/27 (37%),9/18 (50%),4/6 (67%),30%,40%,10,15,6,12,42,41,4,14,No information,No information,1,12,3,0
https://www.sofascore.com/england-denmark/BObsnUb#id:8594134,England,Denmark,"07/07/2021, 12:00",58%,42%,4,0,20,6,2,9,6,5,10,21,728,534,11,33,21,9,1,1,No information,No information,10,3,0,0,6,2,4,1,15,1,5,5,1,0,3,0,1,0,No information,No information,8,2,0,1,636,432,25,21,74,56,34/70 (49%),28/70 (40%),10/29 (34%),1/15 (7%),50%,50%,19,2,47/94 (50%),47/94 (50%),21/41 (51%),20/41 (49%),15/29 (52%),5/14 (36%),27%,48%,11,33,13,15,No information,No information,13,33,-0.75,1.88,5,8,2,1
https://www.sofascore.com/england-france/GObsnUb#id:10230634,England,France,"10/12/2022, 11:00",57%,43%,3,2,16,8,3,6,5,2,10,14,503,377,16,10,14,10,1,3,No information,No information,8,5,1,0,4,2,4,1,8,5,8,3,1,1,2,1,No information,No information,No information,No information,6,3,1,2,441,306,16,14,51,62,23/41 (56%),23/55 (42%),6/18 (33%),4/11 (36%),55%,45%,5,11,34/58 (59%),24/58 (41%),18/37 (49%),19/37 (51%),4/9 (44%),4/9 (44%),63%,70%,16,10,8,5,No information,No information,13,15,-0.40,1.01,9,5,2,1
https://www.sofascore.com/england-germany/lUbsnUb#id:10023351,England,Germany,"07/06/2022, 11:45",59%,41%,2,3,10,13,5,1,2,6,8,12,581,386,24,17,11,7,2,0,No information,No information,4,8,0,0,4,5,2,0,4,11,6,2,2,2,0,1,0,1,No information,No information,2,2,1,2,505,305,22,17,45,49,31/45 (69%),27/59 (46%),2/11 (18%),6/19 (32%),51%,49%,12,12,39/71 (55%),32/71 (45%),8/21 (38%),13/21 (62%),4/9 (44%),8/20 (40%),50%,47%,24,17,7,11,No information,No information,15,16,No information,No information,8,6,1,1
https://www.sofascore.com/england-germany/lUbsnUb#id:10023377,England,Germany,"26/09/2022, 11:45",41%,59%,3,2,13,10,1,5,6,2,12,8,386,581,17,24,7,11,0,2,No information,No information,8,4,0,0,5,4,0,2,11,4,2,6,2,2,1,0,1,0,No information,No information,2,2,2,1,305,505,17,22,49,45,27/59 (46%),31/45 (69%),6/19 (32%),2/11 (18%),49%,51%,12,12,32/71 (45%),39/71 (55%),13/21 (62%),8/21 (38%),8/20 (40%),4/9 (44%),47%,50%,17,24,11,7,No information,No information,16,15,No information,No information,6,8,3,3
https://www.sofascore.com/england-germany/lUbsnUb#id:8594146,England,Germany,"29/06/2021, 09:00",41%,59%,3,2,13,10,1,5,6,2,12,8,386,581,17,24,7,11,0,2,No information,No information,8,4,0,0,5,4,0,2,11,4,2,6,2,2,1,0,1,0,No information,No information,2,2,2,1,305,505,17,22,49,45,27/59 (46%),31/45 (69%),6/19 (32%),2/11 (18%),49%,51%,12,12,32/71 (45%),39/71 (55%),13/21 (62%),8/21 (38%),8/20 (40%),4/9 (44%),47%,50%,17,24,11,7,No information,No information,16,15,No information,No information,6,8,2,0
https://www.sofascore.com/england-hungary/jUbsnUb#id:10023296,England,Hungary,"14/06/2022, 11:45",69%,31%,2,2,10,6,1,3,6,0,13,11,614,285,18,20,11,13,3,2,1,0,2,5,1,0,6,0,2,1,7,4,3,2,0,2,2,0,1,1,No information,No information,2,1,2,0,546,221,17,16,61,27,30/47 (64%),22/44 (50%),8/24 (33%),1/7 (14%),43%,57%,12,12,35/80 (44%),45/80 (56%),7/17 (41%),10/17 (59%),6/14 (43%),12/18 (67%),67%,50%,18,20,9,13,No information,No information,9,16,No information,No information,1,12,4,0
https://www.sofascore.com/england-hungary/jUbsnUb#id:10023447,England,Hungary,"04/06/2022, 09:00",31%,69%,2,2,6,10,3,1,0,6,11,13,285,614,20,18,13,11,2,3,0,1,5,2,0,1,0,6,1,2,4,7,2,3,2,0,0,2,1,1,No information,No information,1,2,0,2,221,546,16,17,27,61,22/44 (50%),30/47 (64%),1/7 (14%),8/24 (33%),57%,43%,12,12,45/80 (56%),35/80 (44%),10/17 (59%),7/17 (41%),12/18 (67%),6/14 (43%),50%,67%,20,18,13,9,No information,No information,16,9,No information,No information,12,1,0,1
https://www.sofascore.com/england-hungary/jUbsnUb#id:9223780,England,Hungary,"02/09/2021, 11:45",31%,69%,2,2,6,10,3,1,0,6,11,13,285,614,20,18,13,11,2,3,0,1,5,2,0,1,0,6,1,2,4,7,2,3,2,0,0,2,1,1,No information,No information,1,2,0,2,221,546,16,17,27,61,22/44 (50%),30/47 (64%),1/7 (14%),8/24 (33%),57%,43%,12,12,45/80 (56%),35/80 (44%),10/17 (59%),7/17 (41%),12/18 (67%),6/14 (43%),50%,67%,20,18,13,9,No information,No information,16,9,No information,No information,12,1,0,4
https://www.sofascore.com/england-hungary/jUbsnUb#id:9223931,England,Hungary,"12/10/2021, 11:45",69%,31%,2,2,10,6,1,3,6,0,13,11,614,285,18,20,11,13,3,2,1,0,2,5,1,0,6,0,2,1,7,4,3,2,0,2,2,0,1,1,No information,No information,2,1,2,0,546,221,17,16,61,27,30/47 (64%),22/44 (50%),8/24 (33%),1/7 (14%),43%,57%,12,12,35/80 (44%),45/80 (56%),7/17 (41%),10/17 (59%),6/14 (43%),12/18 (67%),67%,50%,18,20,9,13,No information,No information,9,16,No information,No information,1,12,1,1
https://www.sofascore.com/england-iceland/iUbsnUb#id:12076179,England,Iceland,"07/06/2024, 11:45",68%,32%,1,1,13,8,3,1,7,5,4,9,654,317,9,14,9,4,0,3,No information,No information,1,4,0,0,9,0,3,4,11,4,2,4,No information,No information,1,1,No information,No information,24,12,1,0,4,0,598,248,18,18,81,38,26/38 (68%),18/56 (32%),5/39 (13%),3/8 (38%),60%,40%,8,3,26/47 (55%),21/47 (45%),16/23 (70%),7/23 (30%),8/14 (57%),3/9 (33%),78%,50%,9,14,7,9,51,33,11,31,No information,No information,1,17,1,0
https://www.sofascore.com/england-iceland/iUbsnUb#id:8600787,England,Iceland,"18/11/2020, 11:45",68%,32%,1,1,13,8,3,1,7,5,4,9,654,317,9,14,9,4,0,3,No information,No information,1,4,0,0,9,0,3,4,11,4,2,4,No information,No information,1,1,No information,No information,24,12,1,0,4,0,598,248,18,18,81,38,26/38 (68%),18/56 (32%),5/39 (13%),3/8 (38%),60%,40%,8,3,26/47 (55%),21/47 (45%),16/23 (70%),7/23 (30%),8/14 (57%),3/9 (33%),78%,50%,9,14,7,9,51,33,11,31,No information,No information,1,17,4,0
https://www.sofascore.com/england-italy/hUbsnUb#id:10023294,England,Italy,"11/06/2022, 11:45",51%,49%,3,1,9,15,3,3,2,2,8,15,508,498,9,21,15,7,1,3,No information,No information,6,4,0,0,3,5,0,6,5,9,4,6,3,1,No information,No information,1,0,No information,No information,3,0,0,1,451,428,11,13,40,50,30/55 (55%),21/31 (68%),3/7 (43%),3/7 (43%),51%,49%,13,3,33/64 (52%),31/64 (48%),5/11 (45%),6/11 (55%),9/17 (53%),3/9 (33%),67%,57%,9,21,12,8,47,46,9,8,No information,No information,5,6,0,0
https://www.sofascore.com/england-italy/hUbsnUb#id:10023391,England,Italy,"23/09/2022, 11:45",49%,51%,1,3,15,9,3,3,2,2,15,8,498,508,21,9,7,15,3,1,No information,No information,4,6,0,0,5,3,6,0,9,5,6,4,1,3,No information,No information,0,1,No information,No information,0,3,1,0,428,451,13,11,50,40,21/31 (68%),30/55 (55%),3/7 (43%),3/7 (43%),49%,51%,3,13,31/64 (48%),33/64 (52%),6/11 (55%),5/11 (45%),3/9 (33%),9/17 (53%),57%,67%,21,9,8,12,46,47,8,9,No information,No information,6,5,0,1
https://www.sofascore.com/england-italy/hUbsnUb#id:10752368,England,Italy,"23/03/2023, 12:45",49%,51%,1,3,15,9,3,3,2,2,15,8,498,508,21,9,7,15,3,1,No information,No information,4,6,0,0,5,3,6,0,9,5,6,4,1,3,No information,No information,0,1,No information,No information,0,3,1,0,428,451,13,11,50,40,21/31 (68%),30/55 (55%),3/7 (43%),3/7 (43%),49%,51%,3,13,31/64 (48%),33/64 (52%),6/11 (55%),5/11 (45%),3/9 (33%),9/17 (53%),57%,67%,21,9,8,12,46,47,8,9,No information,No information,6,5,1,2
https://www.sofascore.com/england-italy/hUbsnUb#id:10752547,England,Italy,"17/10/2023, 11:45",51%,49%,3,1,9,15,3,3,2,2,8,15,508,498,9,21,15,7,1,3,No information,No information,6,4,0,0,3,5,0,6,5,9,4,6,3,1,No information,No information,1,0,No information,No information,3,0,0,1,451,428,11,13,40,50,30/55 (55%),21/31 (68%),3/7 (43%),3/7 (43%),51%,49%,13,3,33/64 (52%),31/64 (48%),5/11 (45%),6/11 (55%),9/17 (53%),3/9 (33%),67%,57%,9,21,12,8,47,46,9,8,No information,No information,5,6,3,1
https://www.sofascore.com/england-italy/hUbsnUb#id:8594152,England,Italy,"11/07/2021, 12:00",49%,51%,1,3,15,9,3,3,2,2,15,8,498,508,21,9,7,15,3,1,No information,No information,4,6,0,0,5,3,6,0,9,5,6,4,1,3,No information,No information,0,1,No information,No information,0,3,1,0,428,451,13,11,50,40,21/31 (68%),30/55 (55%),3/7 (43%),3/7 (43%),49%,51%,3,13,31/64 (48%),33/64 (52%),6/11 (55%),5/11 (45%),3/9 (33%),9/17 (53%),57%,67%,21,9,8,12,46,47,8,9,No information,No information,6,5,1,1
