Player,Game Link,Country,shotType,goalType,situation,X,Y,Z,bodyPart,goalMouthLocation,Goal Mouth X,Goal mouth Y,Goal Mouth Z,XG,XGOT,time,addedTime,timeSeconds,Start X,Start Y,End X,End Y,Goal X,Goal Y,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType
gilmour-billy,https://www.sofascore.com/faroe-islands-scotland/VTbskVb#id:9223873,scotland,save,No information,assisted,9.4,68,0,right-foot,low-centre,0,48.6,3.2,No information,No information,76,No information,4512,68,9.4,51.4,0,51.4,96.8,15,888,shot
gilmour-billy,https://www.sofascore.com/faroe-islands-scotland/VTbskVb#id:9223873,scotland,block,No information,assisted,19.2,50.3,0,right-foot,low-centre,0,49.9,19,No information,No information,70,No information,4195,50.3,19.2,50.1,0,50.1,81,21,1205,shot
gilmour-billy,https://www.sofascore.com/faroe-islands-scotland/VTbskVb#id:9223873,scotland,block,No information,assisted,25.8,62.9,0,right-foot,low-left,0,51.9,19,No information,No information,69,No information,4112,62.9,25.8,48.1,0,48.1,81,22,1288,shot
hallur-hansson,https://www.sofascore.com/faroe-islands-scotland/VTbskVb#id:9223873,faroe islands,miss,No information,assisted,15.5,64.8,0,right-foot,close-right,0,43,20.8,No information,No information,66,No information,3919,64.8,15.5,57,0,57,79.2,25,1481,shot
gilmour-billy,https://www.sofascore.com/faroe-islands-scotland/VTbskVb#id:9223873,scotland,miss,No information,regular,18,44.5,0,right-foot,close-left,0,58.8,6.9,No information,No information,64,No information,3780,44.5,18,41.2,0,41.2,93.1,27,1620,shot
kieran-tierney,https://www.sofascore.com/faroe-islands-scotland/VTbskVb#id:9223873,scotland,miss,No information,regular,27.5,56.3,0,right-foot,high,0,49.7,88.9,No information,No information,62,No information,3683,56.3,27.5,50.3,0,50.3,11.1,29,1717,shot
scott-mctominay,https://www.sofascore.com/faroe-islands-scotland/VTbskVb#id:9223873,scotland,miss,No information,assisted,12.2,70.3,0,right-foot,close-right,0,41.5,29.2,No information,No information,55,No information,3240,70.3,12.2,58.5,0,58.5,70.8,36,2160,shot
lyndon-dykes,https://www.sofascore.com/faroe-islands-scotland/VTbskVb#id:9223873,scotland,miss,No information,assisted,11.8,51.5,0,right-foot,right,0,35.1,8.3,No information,No information,52,No information,3061,51.5,11.8,64.9,0,64.9,91.7,39,2339,shot
ryan-christie,https://www.sofascore.com/faroe-islands-scotland/VTbskVb#id:9223873,scotland,block,No information,assisted,11.4,57.8,0,right-foot,low-centre,0,49.5,19,No information,No information,45,2,2803,57.8,11.4,50.5,0,50.5,81,1,2597,shot
scott-mctominay,https://www.sofascore.com/faroe-islands-scotland/VTbskVb#id:9223873,scotland,miss,No information,assisted,20.9,49.5,0,right-foot,high,0,53.4,63.9,No information,No information,45,1,2705,49.5,20.9,46.6,0,46.6,36.1,1,2695,shot
brandur-hendriksson-olsen,https://www.sofascore.com/faroe-islands-scotland/VTbskVb#id:9223873,faroe islands,save,No information,free-kick,29.5,60.4,0,right-foot,low-left,0,52.3,10.8,No information,No information,44,No information,2638,60.4,29.5,47.7,0,47.7,89.2,2,62,shot
odmar-faero,https://www.sofascore.com/faroe-islands-scotland/VTbskVb#id:9223873,faroe islands,miss,No information,regular,23.4,66.8,0,right-foot,close-left,0,57.8,8.3,No information,No information,40,No information,2382,66.8,23.4,42.2,0,42.2,91.7,6,318,shot
scott-mctominay,https://www.sofascore.com/faroe-islands-scotland/VTbskVb#id:9223873,scotland,miss,No information,free-kick,28.7,41.2,0,right-foot,high,0,53.4,77.8,No information,No information,33,No information,1940,41.2,28.7,46.6,0,46.6,22.2,13,760,shot
hallur-hansson,https://www.sofascore.com/faroe-islands-scotland/VTbskVb#id:9223873,faroe islands,miss,No information,assisted,25.4,42.4,0,left-foot,high-left,0,60.2,40.3,No information,No information,31,No information,1801,42.4,25.4,39.8,0,39.8,59.7,15,899,shot
john-mcginn,https://www.sofascore.com/faroe-islands-scotland/VTbskVb#id:9223873,scotland,block,No information,set-piece,20.9,28.2,0,right-foot,low-left,0,54.1,19,No information,No information,28,No information,1632,28.2,20.9,45.9,0,45.9,81,18,1068,shot
ryan-christie,https://www.sofascore.com/faroe-islands-scotland/VTbskVb#id:9223873,scotland,block,No information,set-piece,18.7,38.8,0,left-foot,low-centre,0,49.7,19,No information,No information,28,No information,1628,38.8,18.7,50.3,0,50.3,81,18,1072,shot
sonni-nattestad,https://www.sofascore.com/faroe-islands-scotland/VTbskVb#id:9223873,faroe islands,miss,No information,assisted,8.3,45.7,0,head,high,0,50.8,75,No information,No information,24,No information,1416,45.7,8.3,49.2,0,49.2,25,22,1284,shot
viljormur-davidsen,https://www.sofascore.com/faroe-islands-scotland/VTbskVb#id:9223873,faroe islands,block,No information,regular,13.8,42.4,0,left-foot,low-centre,0,51,19,No information,No information,23,No information,1348,42.4,13.8,49,0,49,81,23,1352,shot
ari-mohr-jonsson,https://www.sofascore.com/faroe-islands-scotland/VTbskVb#id:9223873,faroe islands,save,No information,assisted,7,51.1,0,right-foot,low-centre,0,50.6,14.6,No information,No information,23,No information,1345,51.1,7,49.4,0,49.4,85.4,23,1355,shot
scott-mctominay,https://www.sofascore.com/faroe-islands-scotland/VTbskVb#id:9223873,scotland,save,No information,assisted,3.7,69.3,0,right-foot,low-right,0,46.8,1.3,No information,No information,21,No information,1249,69.3,3.7,53.2,0,53.2,98.7,25,1451,shot
joan-edmundsson,https://www.sofascore.com/faroe-islands-scotland/VTbskVb#id:9223873,faroe islands,miss,No information,assisted,12.2,47.4,0,left-foot,right,0,36.1,16.7,No information,No information,5,No information,258,47.4,12.2,63.9,0,63.9,83.3,41,2442,shot

allan-campbell,https://www.sofascore.com/armenia-scotland/VTbsPUb#id:10023701,scotland,block,No information,assisted,9.6,43.3,0,left-foot,low-left,0,53.5,19,No information,No information,90,3,5566,43.3,9.6,46.5,0,46.5,81,1,734,shot
artur-serobyan,https://www.sofascore.com/armenia-scotland/VTbsPUb#id:10023701,armenia,save,No information,regular,2.8,66.7,0,right-foot,low-right,0,46.9,2.5,No information,No information,88,No information,5269,66.7,2.8,53.1,0,53.1,97.5,3,131,shot
kamo-hovhannisyan,https://www.sofascore.com/armenia-scotland/VTbsPUb#id:10023701,armenia,block,No information,assisted,6.5,54.4,0,right-foot,low-centre,0,49.2,19,No information,No information,87,No information,5198,54.4,6.5,50.8,0,50.8,81,4,202,shot
kamo-hovhannisyan,https://www.sofascore.com/armenia-scotland/VTbsPUb#id:10023701,armenia,miss,No information,regular,8.7,33.3,0,left-foot,close-left,0,58.8,30.6,No information,No information,85,No information,5059,33.3,8.7,41.2,0,41.2,69.4,6,341,shot
tigran-barseghyan,https://www.sofascore.com/armenia-scotland/VTbsPUb#id:10023701,armenia,save,No information,assisted,29,69.2,0,left-foot,low-left,0,54.2,4.4,No information,No information,69,No information,4130,69.2,29,45.8,0,45.8,95.6,22,1270,shot
david-turnbull,https://www.sofascore.com/armenia-scotland/VTbsPUb#id:10023701,scotland,block,No information,corner,21.4,33,0,right-foot,low-right,0,47.9,19,No information,No information,66,No information,3904,33,21.4,52.1,0,52.1,81,25,1496,shot
