Player,Game Link,Country,shotType,goalType,situation,X,Y,Z,bodyPart,goalMouthLocation,Goal Mouth X,Goal mouth Y,Goal Mouth Z,XG,XGOT,time,addedTime,timeSeconds,Start X,Start Y,End X,End Y,Goal X,Goal Y,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType
daley-blind,https://www.sofascore.com/usa-netherlands/fUbszUb#id:10230638,netherlands,miss,No information,assisted,14.6,34.9,0,left-foot,high,0,55.8,66.7,No information,No information,18,No information,1024,34.9,14.6,44.2,0,44.2,33.3,28,1676,shot
memphis-depay,https://www.sofascore.com/usa-netherlands/fUbszUb#id:10230638,netherlands,goal,regular,assisted,13.9,54.3,0,right-foot,low-left,0,53.5,5.1,No information,No information,10,No information,571,54.3,13.9,46.5,0,46.5,94.9,36,2129,shot
christian-pulisic,https://www.sofascore.com/usa-netherlands/fUbszUb#id:10230638,usa,save,No information,assisted,12.5,41.2,0,left-foot,low-right,0,48.1,2.5,No information,No information,3,No information,130,41.2,12.5,51.9,0,51.9,97.5,43,2570,shot

memphis-depay,https://www.sofascore.com/netherlands-turkey/aUbsfUb#id:9223752,netherlands,save,No information,penalty,11.5,50,0,right-foot,low-left,0,53.2,8.9,No information,No information,90,4,5637,50,11.5,46.8,0,46.8,91.1,1,663,shot
luuk-de-jong,https://www.sofascore.com/netherlands-turkey/aUbsfUb#id:9223752,netherlands,save,No information,corner,10.3,47.9,0,head,low-left,0,54,3.2,No information,No information,90,3,5572,47.9,10.3,46,0,46,96.8,1,728,shot
memphis-depay,https://www.sofascore.com/netherlands-turkey/aUbsfUb#id:9223752,netherlands,save,No information,regular,14.1,28,0,right-foot,high-right,0,47,24.7,No information,No information,90,3,5547,28,14.1,53,0,53,75.3,1,753,shot
patrick-van-aanholt,https://www.sofascore.com/netherlands-turkey/aUbsfUb#id:9223752,netherlands,save,No information,assisted,11.2,25.9,0,right-foot,low-left,0,52.6,7,No information,No information,89,No information,5338,25.9,11.2,47.4,0,47.4,93,2,62,shot
georginio-wijnaldum,https://www.sofascore.com/netherlands-turkey/aUbsfUb#id:9223752,netherlands,miss,No information,corner,10.5,51.8,0,right-foot,left,0,68.9,18.1,No information,No information,88,No information,5241,51.8,10.5,31.1,0,31.1,81.9,3,159,shot
georginio-wijnaldum,https://www.sofascore.com/netherlands-turkey/aUbsfUb#id:9223752,netherlands,block,No information,regular,22.4,45.2,0,left-foot,low-centre,0,50.6,19,No information,No information,88,No information,5220,45.2,22.4,49.4,0,49.4,81,3,180,shot
enes-unal,https://www.sofascore.com/netherlands-turkey/aUbsfUb#id:9223752,türkiye,save,No information,set-piece,9.4,56.4,0,head,low-centre,0,48.5,18.4,No information,No information,87,No information,5174,56.4,9.4,51.5,0,51.5,81.6,4,226,shot
burak-yilmaz,https://www.sofascore.com/netherlands-turkey/aUbsfUb#id:9223752,türkiye,goal,regular,free-kick,20.2,36.6,0,right-foot,high-right,0,45.9,29.7,No information,No information,81,No information,4820,36.6,20.2,54.1,0,54.1,70.3,10,580,shot
memphis-depay,https://www.sofascore.com/netherlands-turkey/aUbsfUb#id:9223752,netherlands,miss,No information,assisted,24.4,24.8,0,right-foot,high-right,0,34.6,59.7,No information,No information,78,No information,4635,24.8,24.4,65.4,0,65.4,40.3,13,765,shot
luuk-de-jong,https://www.sofascore.com/netherlands-turkey/aUbsfUb#id:9223752,netherlands,goal,regular,corner,3.2,46.7,0,other,low-left,0,53.8,2.5,No information,No information,76,No information,4538,46.7,3.2,46.2,0,46.2,97.5,15,862,shot
davy-klaassen,https://www.sofascore.com/netherlands-turkey/aUbsfUb#id:9223752,netherlands,goal,regular,assisted,9,43.7,0,left-foot,high-right,0,48.1,22.8,No information,No information,75,No information,4446,43.7,9,51.9,0,51.9,77.2,16,954,shot
burak-yilmaz,https://www.sofascore.com/netherlands-turkey/aUbsfUb#id:9223752,türkiye,miss,No information,assisted,24.3,72.1,0,right-foot,high-right,0,41,88.9,No information,No information,74,No information,4413,72.1,24.3,59,0,59,11.1,17,987,shot
taylan-antalyali,https://www.sofascore.com/netherlands-turkey/aUbsfUb#id:9223752,türkiye,miss,No information,corner,18.1,48.4,0,left-foot,high,0,55,100,No information,No information,64,No information,3837,48.4,18.1,45,0,45,0,27,1563,shot
