Player,Game Link,Country,shotType,goalType,situation,X,Y,Z,bodyPart,goalMouthLocation,Goal Mouth X,Goal mouth Y,Goal Mouth Z,XG,XGOT,time,addedTime,timeSeconds,Start X,Start Y,End X,End Y,Goal X,Goal Y,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType
declan-rice,https://www.sofascore.com/england-italy/hUbsnUb#id:10023391,england,save,No information,assisted,22.1,27.9,0,right-foot,low-right,0,47.1,10.1,No information,No information,90,3,5541,27.9,22.1,52.9,0,52.9,89.9,1,759,shot
wilfried-gnonto,https://www.sofascore.com/england-italy/hUbsnUb#id:10023391,italy,block,No information,assisted,9.8,28.4,0,left-foot,low-centre,0,49,19,No information,No information,90,1,5401,28.4,9.8,51,0,51,81,1,899,shot
bryan-cristante,https://www.sofascore.com/england-italy/hUbsnUb#id:10023391,italy,miss,No information,assisted,15.2,56.5,0,left-foot,high-left,0,57.3,91.7,No information,No information,88,No information,5249,56.5,15.2,42.7,0,42.7,8.3,3,151,shot
manolo-gabbiadini,https://www.sofascore.com/england-italy/hUbsnUb#id:10023391,italy,save,No information,assisted,13.8,34.7,0,left-foot,low-centre,0,51.1,2.5,No information,No information,85,No information,5041,34.7,13.8,48.9,0,48.9,97.5,6,359,shot
jude-bellingham,https://www.sofascore.com/england-italy/hUbsnUb#id:10023391,england,miss,No information,assisted,19.6,35,0,left-foot,high-left,0,61.8,83.3,No information,No information,83,No information,4974,35,19.6,38.2,0,38.2,16.7,8,426,shot
harry-kane,https://www.sofascore.com/england-italy/hUbsnUb#id:10023391,england,save,No information,regular,5.7,69.5,0,right-foot,low-centre,0,48.6,15.8,No information,No information,77,No information,4566,69.5,5.7,51.4,0,51.4,84.2,14,834,shot
harry-kane,https://www.sofascore.com/england-italy/hUbsnUb#id:10023391,england,save,No information,assisted,6.5,71.8,0,right-foot,low-centre,0,51.6,15.8,No information,No information,77,No information,4564,71.8,6.5,48.4,0,48.4,84.2,14,836,shot
eric-dier,https://www.sofascore.com/england-italy/hUbsnUb#id:10023391,england,miss,No information,set-piece,13.1,49.7,0,head,high-right,0,40.7,79.2,No information,No information,71,No information,4236,49.7,13.1,59.3,0,59.3,20.8,20,1164,shot
giacomo-raspadori,https://www.sofascore.com/england-italy/hUbsnUb#id:10023391,italy,goal,regular,assisted,15.6,32.1,0,right-foot,low-right,0,45.6,16.5,No information,No information,68,No information,4055,32.1,15.6,54.4,0,54.4,83.5,23,1345,shot
wilfried-gnonto,https://www.sofascore.com/england-italy/hUbsnUb#id:10023391,italy,block,No information,corner,12.7,76.7,0,right-foot,low-left,0,52.8,19,No information,No information,65,No information,3898,76.7,12.7,47.2,0,47.2,81,26,1502,shot
giovanni-di-lorenzo,https://www.sofascore.com/england-italy/hUbsnUb#id:10023391,italy,block,No information,corner,2,59.6,0,head,low-right,0,46.9,19,No information,No information,65,No information,3896,59.6,2,53.1,0,53.1,81,26,1504,shot
eric-dier,https://www.sofascore.com/england-italy/hUbsnUb#id:10023391,england,miss,No information,corner,11.8,56.2,0,right-foot,high,0,52.9,91.7,No information,No information,61,No information,3613,56.2,11.8,47.1,0,47.1,8.3,30,1787,shot
harry-kane,https://www.sofascore.com/england-italy/hUbsnUb#id:10023391,england,block,No information,fast-break,7.6,32.4,0,left-foot,low-left,0,52.8,19,No information,No information,50,No information,2983,32.4,7.6,47.2,0,47.2,81,41,2417,shot
reece-james,https://www.sofascore.com/england-italy/hUbsnUb#id:10023391,england,miss,No information,free-kick,19.4,35.1,0,right-foot,high-right,0,42,86.1,No information,No information,49,No information,2902,35.1,19.4,58,0,58,13.9,42,2498,shot
harry-kane,https://www.sofascore.com/england-italy/hUbsnUb#id:10023391,england,miss,No information,fast-break,24.1,60,0,right-foot,high,0,47.6,69.4,No information,No information,42,No information,2503,60,24.1,52.4,0,52.4,30.6,4,197,shot
bryan-cristante,https://www.sofascore.com/england-italy/hUbsnUb#id:10023391,italy,block,No information,regular,19.9,45.8,0,right-foot,low-centre,0,49.4,19,No information,No information,38,No information,2254,45.8,19.9,50.6,0,50.6,81,8,446,shot
jude-bellingham,https://www.sofascore.com/england-italy/hUbsnUb#id:10023391,england,save,No information,corner,19.1,72,0,right-foot,low-right,0,47.1,15.8,No information,No information,37,No information,2179,72,19.1,52.9,0,52.9,84.2,9,521,shot
eric-dier,https://www.sofascore.com/england-italy/hUbsnUb#id:10023391,england,miss,No information,corner,8.2,58.7,0,head,left,0,90.9,12.5,No information,No information,36,No information,2142,58.7,8.2,9.1,0,9.1,87.5,10,558,shot
reece-james,https://www.sofascore.com/england-italy/hUbsnUb#id:10023391,england,block,No information,set-piece,15.1,66.4,0,right-foot,low-centre,0,51.7,19,No information,No information,35,No information,2048,66.4,15.1,48.3,0,48.3,81,11,652,shot
harry-kane,https://www.sofascore.com/england-italy/hUbsnUb#id:10023391,england,miss,No information,set-piece,12.8,43.1,0,head,right,0,21.8,4.2,No information,No information,35,No information,2044,43.1,12.8,78.2,0,78.2,95.8,11,656,shot
gianluca-scamacca,https://www.sofascore.com/england-italy/hUbsnUb#id:10023391,italy,miss,No information,assisted,29.3,59.8,0,right-foot,left,0,61,2.8,No information,No information,6,No information,347,59.8,29.3,39,0,39,97.2,40,2353,shot
gianluca-scamacca,https://www.sofascore.com/england-italy/hUbsnUb#id:10023391,italy,save,No information,assisted,1.2,61.2,0,head,high-right,0,45.8,30.4,No information,No information,5,No information,257,61.2,1.2,54.2,0,54.2,69.6,41,2443,shot
giacomo-raspadori,https://www.sofascore.com/england-italy/hUbsnUb#id:10023391,italy,block,No information,assisted,18.5,31,0,right-foot,low-centre,0,51.6,19,No information,No information,4,No information,229,31,18.5,48.4,0,48.4,81,42,2471,shot

