Player,Game Link,Country,shotType,goalType,situation,X,Y,Z,bodyPart,goalMouthLocation,Goal Mouth X,Goal mouth Y,Goal Mouth Z,XG,XGOT,time,addedTime,timeSeconds,Start X,Start Y,End X,End Y,Goal X,Goal Y,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType
merih-demiral,https://www.sofascore.com/football/match/turkiye-switzerland/ZTbsaUb#id:8513127,türkiye,miss,No information,corner,9.8,57.9,0,head,high-left,0,58,75,No information,No information,43,No information,2577,57.9,9.8,42,0,42,25,3,123,shot
mert-muldur,https://www.sofascore.com/football/match/turkiye-switzerland/ZTbsaUb#id:8513127,türkiye,save,No information,assisted,13.4,34.8,0,right-foot,low-left,0,51.9,13.3,No information,No information,43,No information,2546,34.8,13.4,48.1,0,48.1,86.7,3,154,shot
haris-seferovic,https://www.sofascore.com/football/match/turkiye-switzerland/ZTbsaUb#id:8513127,switzerland,block,No information,assisted,18.3,45.4,0,left-foot,low-centre,0,50.2,19,No information,No information,43,No information,2532,45.4,18.3,49.8,0,49.8,81,3,168,shot
breel-embolo,https://www.sofascore.com/football/match/turkiye-switzerland/ZTbsaUb#id:8513127,switzerland,miss,No information,regular,10.8,76.3,0,right-foot,left,0,66.7,4.2,No information,No information,38,No information,2247,76.3,10.8,33.3,0,33.3,95.8,8,453,shot
zeki-celik,https://www.sofascore.com/football/match/turkiye-switzerland/ZTbsaUb#id:8513127,türkiye,miss,No information,assisted,16.1,68.4,0,right-foot,high-left,0,56.8,61.1,No information,No information,36,No information,2144,68.4,16.1,43.2,0,43.2,38.9,10,556,shot
mert-muldur,https://www.sofascore.com/football/match/turkiye-switzerland/ZTbsaUb#id:8513127,türkiye,save,No information,regular,27.1,46.8,0,right-foot,low-left,0,53.8,17.7,No information,No information,33,No information,1949,46.8,27.1,46.2,0,46.2,82.3,13,751,shot
xherdan-shaqiri,https://www.sofascore.com/football/match/turkiye-switzerland/ZTbsaUb#id:8513127,switzerland,save,No information,fast-break,16.2,53.3,0,right-foot,low-left,0,53.4,3.8,No information,No information,28,No information,1676,53.3,16.2,46.6,0,46.6,96.2,18,1024,shot
xherdan-shaqiri,https://www.sofascore.com/football/match/turkiye-switzerland/ZTbsaUb#id:8513127,switzerland,goal,regular,assisted,20.1,51.3,0,right-foot,high-right,0,47.3,28.5,No information,No information,26,No information,1520,51.3,20.1,52.7,0,52.7,71.5,20,1180,shot
haris-seferovic,https://www.sofascore.com/football/match/turkiye-switzerland/ZTbsaUb#id:8513127,switzerland,block,No information,regular,17.9,36.7,0,left-foot,low-left,0,53,19,No information,No information,26,No information,1515,36.7,17.9,47,0,47,81,20,1185,shot
ozan-tufan,https://www.sofascore.com/football/match/turkiye-switzerland/ZTbsaUb#id:8513127,türkiye,miss,No information,assisted,27.8,40.1,0,right-foot,high,0,45.7,62.5,No information,No information,23,No information,1361,40.1,27.8,54.3,0,54.3,37.5,23,1339,shot
steven-zuber,https://www.sofascore.com/football/match/turkiye-switzerland/ZTbsaUb#id:8513127,switzerland,miss,No information,assisted,23.6,42.7,0,right-foot,left,0,61.7,5.6,No information,No information,21,No information,1201,42.7,23.6,38.3,0,38.3,94.4,25,1499,shot
haris-seferovic,https://www.sofascore.com/football/match/turkiye-switzerland/ZTbsaUb#id:8513127,switzerland,save,No information,assisted,17.7,28.5,0,left-foot,low-right,0,46.1,1.3,No information,No information,17,No information,978,28.5,17.7,53.9,0,53.9,98.7,29,1722,shot
mert-muldur,https://www.sofascore.com/football/match/turkiye-switzerland/ZTbsaUb#id:8513127,türkiye,save,No information,assisted,13.9,24.4,0,right-foot,high-right,0,47.4,24.7,No information,No information,16,No information,907,24.4,13.9,52.6,0,52.6,75.3,30,1793,shot
haris-seferovic,https://www.sofascore.com/football/match/turkiye-switzerland/ZTbsaUb#id:8513127,switzerland,goal,regular,assisted,19.4,35.3,0,left-foot,low-right,0,46,1.9,No information,No information,6,No information,339,35.3,19.4,54,0,54,98.1,40,2361,shot
irfan-can-kahveci,https://www.sofascore.com/football/match/turkiye-switzerland/ZTbsaUb#id:8513127,türkiye,miss,No information,assisted,24.1,56.7,0,left-foot,high-left,0,59,79.2,No information,No information,4,No information,219,56.7,24.1,41,0,41,20.8,42,2481,shot
kaan-ayhan,https://www.sofascore.com/football/match/turkiye-switzerland/ZTbsaUb#id:8513127,türkiye,save,No information,assisted,21.9,44.7,0,right-foot,low-left,0,53.9,15.2,No information,No information,4,No information,210,44.7,21.9,46.1,0,46.1,84.8,42,2490,shot
cengiz-under,https://www.sofascore.com/football/match/turkiye-switzerland/ZTbsaUb#id:8513127,türkiye,block,No information,assisted,14.1,72.6,0,left-foot,low-left,0,52.6,19,No information,No information,4,No information,208,72.6,14.1,47.4,0,47.4,81,42,2492,shot
ozan-tufan,https://www.sofascore.com/football/match/turkiye-switzerland/ZTbsaUb#id:8513127,türkiye,miss,No information,assisted,29.2,57,0,right-foot,high-right,0,41.7,68.1,No information,No information,3,No information,170,57,29.2,58.3,0,58.3,31.9,43,2530,shot
burak-yilmaz,https://www.sofascore.com/football/match/turkiye-switzerland/ZTbsaUb#id:8513127,türkiye,block,No information,assisted,30.8,35.3,0,right-foot,low-centre,0,49.9,19,No information,No information,2,No information,113,35.3,30.8,50.1,0,50.1,81,44,2587,shot

ruben-neves,https://www.sofascore.com/football/match/portugal-turkiye/aUbseUb#id:11873984,portugal,miss,No information,assisted,24.8,62.6,0,right-foot,high-left,0,57.5,77.8,No information,No information,90,5,5672,62.6,24.8,42.5,0,42.5,22.2,1,628,shot
arda-guler,https://www.sofascore.com/football/match/portugal-turkiye/aUbseUb#id:11873984,türkiye,miss,No information,assisted,48.6,33.5,0,left-foot,right,0,5.2,2.8,No information,No information,90,1,5448,33.5,48.6,94.8,0,94.8,97.2,1,852,shot
bernardo-silva,https://www.sofascore.com/football/match/portugal-turkiye/aUbseUb#id:11873984,portugal,block,No information,assisted,11.9,44.2,0,left-foot,low-centre,0,48.8,19,No information,No information,90,No information,5368,44.2,11.9,51.2,0,51.2,81,1,32,shot
arda-guler,https://www.sofascore.com/football/match/portugal-turkiye/aUbseUb#id:11873984,türkiye,block,No information,regular,27.1,69.3,0,left-foot,low-centre,0,51.7,19,No information,No information,81,No information,4833,69.3,27.1,48.3,0,48.3,81,10,567,shot
cristiano-ronaldo,https://www.sofascore.com/football/match/portugal-turkiye/aUbseUb#id:11873984,portugal,miss,No information,assisted,7.3,46,0,head,right,0,22.9,9.7,No information,No information,66,No information,3921,46,7.3,77.1,0,77.1,90.3,25,1479,shot
yildiz-kenan,https://www.sofascore.com/football/match/portugal-turkiye/aUbseUb#id:11873984,türkiye,miss,No information,assisted,23.1,28.6,0,right-foot,high-right,0,35,93.1,No information,No information,63,No information,3776,28.6,23.1,65,0,65,6.9,28,1624,shot
yusuf-yazici,https://www.sofascore.com/football/match/portugal-turkiye/aUbseUb#id:11873984,türkiye,block,No information,assisted,19.5,34.4,0,left-foot,low-centre,0,50.9,19,No information,No information,60,No information,3574,34.4,19.5,49.1,0,49.1,81,31,1826,shot
bruno-fernandes,https://www.sofascore.com/football/match/portugal-turkiye/aUbseUb#id:11873984,portugal,goal,regular,assisted,7.7,45.7,0,right-foot,low-centre,0,51.3,1.9,No information,No information,56,No information,3303,45.7,7.7,48.7,0,48.7,98.1,35,2097,shot
yusuf-yazici,https://www.sofascore.com/football/match/portugal-turkiye/aUbseUb#id:11873984,türkiye,save,No information,assisted,27.7,69.7,0,left-foot,low-centre,0,50.8,10.8,No information,No information,53,No information,3162,69.7,27.7,49.2,0,49.2,89.2,38,2238,shot
orkun-kokcu,https://www.sofascore.com/football/match/portugal-turkiye/aUbseUb#id:11873984,türkiye,save,No information,assisted,24.6,43.6,0,right-foot,low-left,0,54.5,1.9,No information,No information,41,No information,2411,43.6,24.6,45.5,0,45.5,98.1,5,289,shot
cristiano-ronaldo,https://www.sofascore.com/football/match/portugal-turkiye/aUbseUb#id:11873984,portugal,miss,No information,assisted,18.4,37,0,right-foot,high,0,45.2,70.8,No information,No information,37,No information,2160,37,18.4,54.8,0,54.8,29.2,9,540,shot
bruno-fernandes,https://www.sofascore.com/football/match/portugal-turkiye/aUbseUb#id:11873984,portugal,miss,No information,assisted,12.8,68.5,0,right-foot,high-right,0,40.7,70.8,No information,No information,35,No information,2082,68.5,12.8,59.3,0,59.3,29.2,11,618,shot
