Player,Game Link,Country,shotType,goalType,situation,X,Y,Z,bodyPart,goalMouthLocation,Goal Mouth X,Goal mouth Y,Goal Mouth Z,XG,XGOT,time,addedTime,timeSeconds,Start X,Start Y,End X,End Y,Goal X,Goal Y,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType
ruben-vargas,https://www.sofascore.com/kosovo-switzerland/ZTbsBNlb#id:10752575,switzerland,block,No information,regular,7.7,41.8,0,right-foot,low-left,0,52.1,19,No information,No information,62,No information,3719,41.8,7.7,47.9,0,47.9,81,29,1681,shot
denis-zakaria,https://www.sofascore.com/kosovo-switzerland/ZTbsBNlb#id:10752575,switzerland,save,No information,assisted,24.2,39.5,0,right-foot,high-centre,0,49.1,25.9,No information,No information,59,No information,3535,39.5,24.2,50.9,0,50.9,74.1,32,1865,shot
bernard-berisha,https://www.sofascore.com/kosovo-switzerland/ZTbsBNlb#id:10752575,kosovo,miss,No information,assisted,12,33.2,0,right-foot,high-right,0,38.5,72.2,No information,No information,56,No information,3358,33.2,12,61.5,0,61.5,27.8,35,2042,shot
bernard-berisha,https://www.sofascore.com/kosovo-switzerland/ZTbsBNlb#id:10752575,kosovo,block,No information,assisted,11.4,28.9,0,left-foot,low-centre,0,51.2,19,No information,No information,56,No information,3334,28.9,11.4,48.8,0,48.8,81,35,2066,shot
ruben-vargas,https://www.sofascore.com/kosovo-switzerland/ZTbsBNlb#id:10752575,switzerland,goal,regular,regular,2.4,48.5,0,head,low-right,0,47.2,15.8,No information,No information,47,No information,2817,48.5,2.4,52.8,0,52.8,84.2,44,2583,shot
denis-zakaria,https://www.sofascore.com/kosovo-switzerland/ZTbsBNlb#id:10752575,switzerland,block,No information,assisted,4.7,55.5,0,head,low-right,0,47.4,19,No information,No information,47,No information,2815,55.5,4.7,52.6,0,52.6,81,44,2585,shot
noah-okafor,https://www.sofascore.com/kosovo-switzerland/ZTbsBNlb#id:10752575,switzerland,miss,No information,assisted,12.7,19.1,0,right-foot,high-right,0,39.5,76.4,No information,No information,44,No information,2627,19.1,12.7,60.5,0,60.5,23.6,2,73,shot
ulisses-garcia,https://www.sofascore.com/kosovo-switzerland/ZTbsBNlb#id:10752575,switzerland,block,No information,assisted,24.7,30.7,0,left-foot,low-centre,0,50.5,19,No information,No information,44,No information,2594,30.7,24.7,49.5,0,49.5,81,2,106,shot
elbasan-rashani,https://www.sofascore.com/kosovo-switzerland/ZTbsBNlb#id:10752575,kosovo,miss,No information,set-piece,11.8,47.2,0,head,close-right,0,43.9,9.7,No information,No information,38,No information,2238,47.2,11.8,56.1,0,56.1,90.3,8,462,shot
noah-okafor,https://www.sofascore.com/kosovo-switzerland/ZTbsBNlb#id:10752575,switzerland,save,No information,assisted,14.7,18.5,0,right-foot,low-centre,0,51,3.8,No information,No information,36,No information,2147,18.5,14.7,49,0,49,96.2,10,553,shot
