Player,Game Link,Country,shotType,goalType,situation,X,Y,Z,bodyPart,goalMouthLocation,Goal Mouth X,Goal mouth Y,Goal Mouth Z,XG,XGOT,time,addedTime,timeSeconds,Start X,Start Y,End X,End Y,Goal X,Goal Y,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType
milan-ristovski,https://www.sofascore.com/north-macedonia-georgia/nVbsCVb#id:10023382,north macedonia,block,No information,assisted,26.4,54.2,0,right-foot,low-centre,0,49.8,19,No information,No information,13,No information,749,54.2,26.4,50.2,0,50.2,81,33,1951,shot
khvicha-kvaratskhelia,https://www.sofascore.com/north-macedonia-georgia/nVbsCVb#id:10023382,georgia,save,No information,regular,13.7,35.3,0,right-foot,low-centre,0,49.8,0.6,No information,No information,11,No information,631,35.3,13.7,50.2,0,50.2,99.4,35,2069,shot

zuriko-davitashvili,https://www.sofascore.com/georgia-bulgaria/qUbsnVb#id:10023366,georgia,miss,No information,regular,12.3,41.3,0,left-foot,high,0,52.1,91.7,No information,No information,90,5,5662,41.3,12.3,47.9,0,47.9,8.3,1,638,shot
giorgi-tsitaishvili,https://www.sofascore.com/georgia-bulgaria/qUbsnVb#id:10023366,georgia,block,No information,assisted,27.8,38.6,0,right-foot,low-centre,0,50.9,19,No information,No information,90,3,5536,38.6,27.8,49.1,0,49.1,81,1,764,shot
khvicha-kvaratskhelia,https://www.sofascore.com/georgia-bulgaria/qUbsnVb#id:10023366,georgia,miss,No information,free-kick,28.6,47.3,0,right-foot,left,0,60.8,2.8,No information,No information,89,No information,5312,47.3,28.6,39.2,0,39.2,97.2,2,88,shot
budu-zivzivadze,https://www.sofascore.com/georgia-bulgaria/qUbsnVb#id:10023366,georgia,block,No information,assisted,6.2,46.7,0,left-foot,low-centre,0,51.1,12.5,No information,No information,85,No information,5088,46.7,6.2,48.9,0,48.9,87.5,6,312,shot
khvicha-kvaratskhelia,https://www.sofascore.com/georgia-bulgaria/qUbsnVb#id:10023366,georgia,block,No information,free-kick,24.6,34.2,0,right-foot,low-centre,0,50.5,19,No information,No information,76,No information,4514,34.2,24.6,49.5,0,49.5,81,15,886,shot
minchev-martin,https://www.sofascore.com/georgia-bulgaria/qUbsnVb#id:10023366,bulgaria,save,No information,regular,21.5,22.8,0,right-foot,high-right,0,46.8,22.2,No information,No information,73,No information,4365,22.8,21.5,53.2,0,53.2,77.8,18,1035,shot
georgi-kostadinov,https://www.sofascore.com/georgia-bulgaria/qUbsnVb#id:10023366,bulgaria,miss,No information,assisted,16.2,45.8,0,head,right,0,30.3,9.7,No information,No information,72,No information,4263,45.8,16.2,69.7,0,69.7,90.3,19,1137,shot
mikautadze-georges,https://www.sofascore.com/georgia-bulgaria/qUbsnVb#id:10023366,georgia,save,No information,assisted,7.5,42.5,0,head,high-centre,0,50.4,23.6,No information,No information,62,No information,3681,42.5,7.5,49.6,0,49.6,76.4,29,1719,shot
khvicha-kvaratskhelia,https://www.sofascore.com/georgia-bulgaria/qUbsnVb#id:10023366,georgia,block,No information,assisted,11.2,34.3,0,right-foot,low-centre,0,49.4,19,No information,No information,62,No information,3673,34.3,11.2,50.6,0,50.6,81,29,1727,shot
