Player,Game Link,Country,shotType,goalType,situation,X,Y,Z,bodyPart,goalMouthLocation,Goal Mouth X,Goal mouth Y,Goal Mouth Z,XG,XGOT,time,addedTime,timeSeconds,Start X,Start Y,End X,End Y,Goal X,Goal Y,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType
harry-maguire,https://www.sofascore.com/england-ukraine/bUbsnUb#id:10752478,england,miss,No information,set-piece,8.5,40.2,0,head,close-high,0,48.7,56.9,No information,No information,51,No information,3055,40.2,8.5,51.3,0,51.3,43.1,40,2345,shot
jude-bellingham,https://www.sofascore.com/england-ukraine/bUbsnUb#id:10752478,england,save,No information,assisted,10.7,47,0,head,high-right,0,46.1,24.7,No information,No information,48,No information,2857,47,10.7,53.9,0,53.9,75.3,43,2543,shot
kyle-walker,https://www.sofascore.com/england-ukraine/bUbsnUb#id:10752478,england,goal,regular,assisted,5.2,56.1,0,right-foot,low-right,0,46.8,4.4,No information,No information,41,No information,2417,56.1,5.2,53.2,0,53.2,95.6,5,283,shot
jordan-henderson,https://www.sofascore.com/england-ukraine/bUbsnUb#id:10752478,england,miss,No information,assisted,19.1,52.2,0,right-foot,high,0,47.6,73.6,No information,No information,29,No information,1686,52.2,19.1,52.4,0,52.4,26.4,17,1014,shot
oleksandr-zinchenko,https://www.sofascore.com/england-ukraine/bUbsnUb#id:10752478,ukraine,goal,regular,assisted,8.8,51.8,0,left-foot,low-right,0,47.4,0.6,No information,No information,26,No information,1515,51.8,8.8,52.6,0,52.6,99.4,20,1185,shot
bukayo-saka,https://www.sofascore.com/england-ukraine/bUbsnUb#id:10752478,england,block,No information,regular,15.5,61.3,0,left-foot,low-centre,0,50.8,19,No information,No information,13,No information,763,61.3,15.5,49.2,0,49.2,81,33,1937,shot

vitaliy-mykolenko,https://www.sofascore.com/ukraine-malta/IObsbUb#id:10752441,ukraine,miss,No information,assisted,12.5,36.8,0,left-foot,high,0,54.1,76.4,No information,No information,90,6,5722,36.8,12.5,45.9,0,45.9,23.6,1,578,shot
viktor-tsygankov,https://www.sofascore.com/ukraine-malta/IObsbUb#id:10752441,ukraine,save,No information,assisted,13.6,58.9,0,left-foot,low-right,0,46.2,15.2,No information,No information,90,4,5635,58.9,13.6,53.8,0,53.8,84.8,1,665,shot
serhiy-kryvtsov,https://www.sofascore.com/ukraine-malta/IObsbUb#id:10752441,ukraine,miss,No information,corner,8.8,45.4,0,head,left,0,75.8,6.9,No information,No information,90,No information,5341,45.4,8.8,24.2,0,24.2,93.1,1,59,shot
illia-zabarnyi,https://www.sofascore.com/ukraine-malta/IObsbUb#id:10752441,ukraine,miss,No information,corner,7.2,55.5,0,head,close-left,0,56.5,16.7,No information,No information,78,No information,4627,55.5,7.2,43.5,0,43.5,83.3,13,773,shot
vitaliy-mykolenko,https://www.sofascore.com/ukraine-malta/IObsbUb#id:10752441,ukraine,block,No information,assisted,12.4,35.3,0,left-foot,low-centre,0,50.5,19,No information,No information,76,No information,4507,35.3,12.4,49.5,0,49.5,81,15,893,shot
viktor-tsygankov,https://www.sofascore.com/ukraine-malta/IObsbUb#id:10752441,ukraine,goal,penalty,penalty,11.5,50,0,left-foot,low-left,0,54.1,19,No information,No information,72,No information,4284,50,11.5,45.9,0,45.9,81,19,1116,shot
vitaliy-buyalskyi,https://www.sofascore.com/ukraine-malta/IObsbUb#id:10752441,ukraine,save,No information,regular,3.1,54,0,right-foot,low-centre,0,49,0.6,No information,No information,64,No information,3821,54,3.1,51,0,51,99.4,27,1579,shot
vitaliy-buyalskyi,https://www.sofascore.com/ukraine-malta/IObsbUb#id:10752441,ukraine,save,No information,assisted,8.8,56.7,0,head,low-centre,0,48.7,6.3,No information,No information,64,No information,3820,56.7,8.8,51.3,0,51.3,93.7,27,1580,shot
andriy-yarmolenko,https://www.sofascore.com/ukraine-malta/IObsbUb#id:10752441,ukraine,save,No information,set-piece,5,69.7,0,right-foot,low-right,0,47.6,11.4,No information,No information,64,No information,3782,69.7,5,52.4,0,52.4,88.6,27,1618,shot
yankam-yannick,https://www.sofascore.com/ukraine-malta/IObsbUb#id:10752441,malta,save,No information,assisted,13.7,51,0,right-foot,low-right,0,48.1,9.5,No information,No information,60,No information,3597,51,13.7,51.9,0,51.9,90.5,31,1803,shot
andriy-yarmolenko,https://www.sofascore.com/ukraine-malta/IObsbUb#id:10752441,ukraine,block,No information,assisted,6.6,65.7,0,left-foot,low-centre,0,50,19,No information,No information,58,No information,3436,65.7,6.6,50,0,50,81,33,1964,shot
andriy-yarmolenko,https://www.sofascore.com/ukraine-malta/IObsbUb#id:10752441,ukraine,post,No information,penalty,11.5,50,0,left-foot,high,0,53.2,38.6,No information,No information,52,No information,3092,50,11.5,46.8,0,46.8,61.4,39,2308,shot
taras-stepanenko,https://www.sofascore.com/ukraine-malta/IObsbUb#id:10752441,ukraine,block,No information,regular,8.7,52.6,0,right-foot,low-centre,0,50.9,19,No information,No information,49,No information,2897,52.6,8.7,49.1,0,49.1,81,42,2503,shot
vladyslav-vanat,https://www.sofascore.com/ukraine-malta/IObsbUb#id:10752441,ukraine,save,No information,regular,4.5,51.5,0,left-foot,low-centre,0,50.6,9.5,No information,No information,49,No information,2896,51.5,4.5,49.4,0,49.4,90.5,42,2504,shot
ruslan-malinovskyi,https://www.sofascore.com/ukraine-malta/IObsbUb#id:10752441,ukraine,save,No information,assisted,25.5,38,0,left-foot,high-centre,0,48.3,24.1,No information,No information,45,5,2978,38,25.5,51.7,0,51.7,75.9,1,2422,shot
viktor-tsygankov,https://www.sofascore.com/ukraine-malta/IObsbUb#id:10752441,ukraine,miss,No information,assisted,25.4,52.6,0,left-foot,high,0,53.1,68.1,No information,No information,38,No information,2253,52.6,25.4,46.9,0,46.9,31.9,8,447,shot
jodi-jones,https://www.sofascore.com/ukraine-malta/IObsbUb#id:10752441,malta,miss,No information,assisted,11,54.8,0,left-foot,close-right,0,43,6.9,No information,No information,24,No information,1428,54.8,11,57,0,57,93.1,22,1272,shot
teddy-teuma,https://www.sofascore.com/ukraine-malta/IObsbUb#id:10752441,malta,block,No information,regular,22.8,52.6,0,left-foot,low-centre,0,49.6,19,No information,No information,23,No information,1327,52.6,22.8,50.4,0,50.4,81,23,1373,shot
vladyslav-vanat,https://www.sofascore.com/ukraine-malta/IObsbUb#id:10752441,ukraine,miss,No information,assisted,5.1,44.1,0,right-foot,close-left,0,57.6,26.4,No information,No information,16,No information,950,44.1,5.1,42.4,0,42.4,73.6,30,1750,shot
jodi-jones,https://www.sofascore.com/ukraine-malta/IObsbUb#id:10752441,malta,save,No information,assisted,22.7,67.3,0,left-foot,low-right,0,47.7,1.3,No information,No information,11,No information,641,67.3,22.7,52.3,0,52.3,98.7,35,2059,shot
vladyslav-vanat,https://www.sofascore.com/ukraine-malta/IObsbUb#id:10752441,ukraine,save,No information,regular,11.4,42.9,0,left-foot,low-centre,0,48.7,3.2,No information,No information,4,No information,211,42.9,11.4,51.3,0,51.3,96.8,42,2489,shot
konoplia-yukhym,https://www.sofascore.com/ukraine-malta/IObsbUb#id:10752441,ukraine,miss,No information,regular,24.8,64.9,0,right-foot,left,0,66.1,4.2,No information,No information,4,No information,209,64.9,24.8,33.9,0,33.9,95.8,42,2491,shot
andriy-yarmolenko,https://www.sofascore.com/ukraine-malta/IObsbUb#id:10752441,ukraine,block,No information,assisted,12.8,55.5,0,left-foot,low-centre,0,50.2,19,No information,No information,4,No information,207,55.5,12.8,49.8,0,49.8,81,42,2493,shot

mykhaylo-mudryk,https://www.sofascore.com/ukraine-bosnia-and-herzegovina/EObsbUb#id:11855032,ukraine,block,No information,fast-break,12.9,46.2,0,left-foot,low-centre,0,50.5,19,No information,No information,90,9,5926,46.2,12.9,49.5,0,49.5,81,1,374,shot
ermedin-demirovic,https://www.sofascore.com/ukraine-bosnia-and-herzegovina/EObsbUb#id:11855032,bosnia & herzegovina,miss,No information,assisted,14.9,41.9,0,right-foot,high,0,50.1,69.4,No information,No information,90,8,5844,41.9,14.9,49.9,0,49.9,30.6,1,456,shot
edin-dzeko,https://www.sofascore.com/ukraine-bosnia-and-herzegovina/EObsbUb#id:11855032,bosnia & herzegovina,miss,No information,assisted,10.1,52.8,0,head,right,0,39.2,1.4,No information,No information,90,7,5764,52.8,10.1,60.8,0,60.8,98.6,1,536,shot
mykhaylo-mudryk,https://www.sofascore.com/ukraine-bosnia-and-herzegovina/EObsbUb#id:11855032,ukraine,miss,No information,free-kick,23.9,45.7,0,right-foot,right,0,40.2,31.9,No information,No information,90,5,5641,45.7,23.9,59.8,0,59.8,68.1,1,659,shot
artem-dovbyk,https://www.sofascore.com/ukraine-bosnia-and-herzegovina/EObsbUb#id:11855032,ukraine,goal,regular,assisted,6.9,53.4,0,head,low-right,0,46.6,3.2,No information,No information,88,No information,5244,53.4,6.9,53.4,0,53.4,96.8,3,156,shot
roman-yaremchuk,https://www.sofascore.com/ukraine-bosnia-and-herzegovina/EObsbUb#id:11855032,ukraine,goal,regular,assisted,9.5,49.5,0,right-foot,low-centre,0,51.8,1.9,No information,No information,85,No information,5066,49.5,9.5,48.2,0,48.2,98.1,6,334,shot
ermedin-demirovic,https://www.sofascore.com/ukraine-bosnia-and-herzegovina/EObsbUb#id:11855032,bosnia & herzegovina,save,No information,set-piece,8.6,38.3,0,left-foot,low-centre,0,50.3,5.7,No information,No information,82,No information,4907,38.3,8.6,49.7,0,49.7,94.3,9,493,shot
oleksii-hutsuliak,https://www.sofascore.com/ukraine-bosnia-and-herzegovina/EObsbUb#id:11855032,ukraine,block,No information,set-piece,13.7,53.9,0,left-foot,low-right,0,45.6,19,No information,No information,80,No information,4766,53.9,13.7,54.4,0,54.4,81,11,634,shot
mykhaylo-mudryk,https://www.sofascore.com/ukraine-bosnia-and-herzegovina/EObsbUb#id:11855032,ukraine,save,No information,assisted,29.7,45.2,0,right-foot,low-left,0,53.9,0.6,No information,No information,77,No information,4595,45.2,29.7,46.1,0,46.1,99.4,14,805,shot
vitaliy-mykolenko,https://www.sofascore.com/ukraine-bosnia-and-herzegovina/EObsbUb#id:11855032,ukraine,block,No information,assisted,12.6,37.6,0,left-foot,low-centre,0,51,19,No information,No information,73,No information,4365,37.6,12.6,49,0,49,81,18,1035,shot
mykhaylo-mudryk,https://www.sofascore.com/ukraine-bosnia-and-herzegovina/EObsbUb#id:11855032,ukraine,miss,No information,regular,12.4,60.9,0,left-foot,left,0,73.4,1.4,No information,No information,73,No information,4362,60.9,12.4,26.6,0,26.6,98.6,18,1038,shot
mykola-matviyenko,https://www.sofascore.com/ukraine-bosnia-and-herzegovina/EObsbUb#id:11855032,bosnia & herzegovina,goal,own,corner,7.9,54,0,left-foot,low-left,0,53.9,2.5,No information,No information,56,No information,3357,54,7.9,46.1,0,46.1,97.5,35,2043,shot
konoplia-yukhym,https://www.sofascore.com/ukraine-bosnia-and-herzegovina/EObsbUb#id:11855032,ukraine,miss,No information,assisted,8.6,64.2,0,right-foot,left,0,63.7,4.2,No information,No information,52,No information,3113,64.2,8.6,36.3,0,36.3,95.8,39,2287,shot
amar-dedic,https://www.sofascore.com/ukraine-bosnia-and-herzegovina/EObsbUb#id:11855032,bosnia & herzegovina,miss,No information,assisted,14.3,64.2,0,left-foot,high-left,0,60.5,65.3,No information,No information,44,No information,2590,64.2,14.3,39.5,0,39.5,34.7,2,110,shot
mykhaylo-mudryk,https://www.sofascore.com/ukraine-bosnia-and-herzegovina/EObsbUb#id:11855032,ukraine,block,No information,assisted,27.6,31.3,0,right-foot,low-centre,0,51.4,19,No information,No information,41,No information,2404,31.3,27.6,48.6,0,48.6,81,5,296,shot
edin-dzeko,https://www.sofascore.com/ukraine-bosnia-and-herzegovina/EObsbUb#id:11855032,bosnia & herzegovina,miss,No information,assisted,7,34.6,0,left-foot,high,0,53.6,72.2,No information,No information,38,No information,2256,34.6,7,46.4,0,46.4,27.8,8,444,shot
anel-ahmedhodzic,https://www.sofascore.com/ukraine-bosnia-and-herzegovina/EObsbUb#id:11855032,bosnia & herzegovina,block,No information,corner,6.9,39,0,head,low-right,0,46.8,19,No information,No information,36,No information,2159,39,6.9,53.2,0,53.2,81,10,541,shot
konoplia-yukhym,https://www.sofascore.com/ukraine-bosnia-and-herzegovina/EObsbUb#id:11855032,ukraine,miss,No information,assisted,20.4,67.9,0,right-foot,high,0,50.1,95.8,No information,No information,21,No information,1213,67.9,20.4,49.9,0,49.9,4.2,25,1487,shot
georgiy-sudakov,https://www.sofascore.com/ukraine-bosnia-and-herzegovina/EObsbUb#id:11855032,ukraine,miss,No information,set-piece,18.4,28,0,right-foot,high,0,48.2,83.3,No information,No information,10,No information,541,28,18.4,51.8,0,51.8,16.7,36,2159,shot
dennis-hadzikadunic,https://www.sofascore.com/ukraine-bosnia-and-herzegovina/EObsbUb#id:11855032,bosnia & herzegovina,miss,No information,set-piece,8.3,55.4,0,head,left,0,70.4,16.7,No information,No information,7,No information,416,55.4,8.3,29.6,0,29.6,83.3,39,2284,shot

junior-moraes,https://www.sofascore.com/finland-ukraine/bUbsmUb#id:9223721,ukraine,save,No information,assisted,12.1,32.5,0,right-foot,low-right,0,48.1,6.3,No information,No information,90,5,5663,32.5,12.1,51.9,0,51.9,93.7,1,637,shot
teemu-pukki,https://www.sofascore.com/finland-ukraine/bUbsmUb#id:9223721,finland,goal,penalty,penalty,11.5,50,0,right-foot,low-left,0,53.9,7,No information,No information,89,No information,5302,50,11.5,46.1,0,46.1,93,2,98,shot
paulus-arajuuri,https://www.sofascore.com/finland-ukraine/bUbsmUb#id:9223721,finland,post,No information,corner,9.1,46,0,head,left,0,55.7,8.2,No information,No information,84,No information,4984,46,9.1,44.3,0,44.3,91.8,7,416,shot
niko-hamalainen,https://www.sofascore.com/finland-ukraine/bUbsmUb#id:9223721,finland,miss,No information,assisted,10.2,34,0,left-foot,close-left,0,57,18.1,No information,No information,83,No information,4956,34,10.2,43,0,43,81.9,8,444,shot
junior-moraes,https://www.sofascore.com/finland-ukraine/bUbsmUb#id:9223721,ukraine,goal,regular,assisted,6.7,51.2,0,left-foot,low-centre,0,49.2,17.7,No information,No information,80,No information,4741,51.2,6.7,50.8,0,50.8,82.3,11,659,shot
ruslan-malinovskyi,https://www.sofascore.com/finland-ukraine/bUbsmUb#id:9223721,ukraine,miss,No information,assisted,14.6,52.2,0,head,left,0,72.8,4.2,No information,No information,75,No information,4485,52.2,14.6,27.2,0,27.2,95.8,16,915,shot
oleksandr-karavayev,https://www.sofascore.com/finland-ukraine/bUbsmUb#id:9223721,ukraine,block,No information,assisted,12.2,71.3,0,left-foot,low-left,0,54.3,19,No information,No information,70,No information,4154,71.3,12.2,45.7,0,45.7,81,21,1246,shot
robin-lod,https://www.sofascore.com/finland-ukraine/bUbsmUb#id:9223721,finland,miss,No information,free-kick,26.4,63.5,0,left-foot,right,0,40.5,20.8,No information,No information,57,No information,3399,63.5,26.4,59.5,0,59.5,79.2,34,2001,shot
robin-lod,https://www.sofascore.com/finland-ukraine/bUbsmUb#id:9223721,finland,block,No information,fast-break,9.5,34.9,0,left-foot,low-right,0,47.2,19,No information,No information,52,No information,3116,34.9,9.5,52.8,0,52.8,81,39,2284,shot
ruslan-malinovskyi,https://www.sofascore.com/finland-ukraine/bUbsmUb#id:9223721,ukraine,miss,No information,assisted,27.4,69.4,0,left-foot,high-left,0,61.8,68.1,No information,No information,51,No information,3054,69.4,27.4,38.2,0,38.2,31.9,40,2346,shot
oleksandr-zubkov,https://www.sofascore.com/finland-ukraine/bUbsmUb#id:9223721,ukraine,block,No information,assisted,27.9,62.9,0,left-foot,low-centre,0,51.6,19,No information,No information,45,2,2767,62.9,27.9,48.4,0,48.4,81,1,2633,shot
ruslan-malinovskyi,https://www.sofascore.com/finland-ukraine/bUbsmUb#id:9223721,ukraine,miss,No information,regular,12.1,43.9,0,left-foot,close-left,0,58,9.7,No information,No information,44,No information,2593,43.9,12.1,42,0,42,90.3,2,107,shot
oleksandr-karavayev,https://www.sofascore.com/finland-ukraine/bUbsmUb#id:9223721,ukraine,block,No information,regular,8.1,70.3,0,left-foot,low-centre,0,49,19,No information,No information,43,No information,2524,70.3,8.1,51,0,51,81,3,176,shot
oleksandr-zubkov,https://www.sofascore.com/finland-ukraine/bUbsmUb#id:9223721,ukraine,block,No information,assisted,12.4,56.6,0,left-foot,low-left,0,52.2,19,No information,No information,42,No information,2518,56.6,12.4,47.8,0,47.8,81,4,182,shot
oleksandr-zubkov,https://www.sofascore.com/finland-ukraine/bUbsmUb#id:9223721,ukraine,miss,No information,regular,14.5,59.2,0,left-foot,high-left,0,57.8,65.3,No information,No information,39,No information,2314,59.2,14.5,42.2,0,42.2,34.7,7,386,shot
roman-yaremchuk,https://www.sofascore.com/finland-ukraine/bUbsmUb#id:9223721,ukraine,block,No information,assisted,12.1,38.8,0,right-foot,low-centre,0,51.4,19,No information,No information,39,No information,2312,38.8,12.1,48.6,0,48.6,81,7,388,shot
oleksandr-zinchenko,https://www.sofascore.com/finland-ukraine/bUbsmUb#id:9223721,ukraine,miss,No information,assisted,26.5,68.2,0,left-foot,close-right,0,41.5,9.7,No information,No information,36,No information,2109,68.2,26.5,58.5,0,58.5,90.3,10,591,shot
