Player,Game Link,Country,shotType,goalType,situation,X,Y,Z,bodyPart,goalMouthLocation,Goal Mouth X,Goal mouth Y,Goal Mouth Z,XG,XGOT,time,addedTime,timeSeconds,Start X,Start Y,End X,End Y,Goal X,Goal Y,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType
ledian-memushaj,https://www.sofascore.com/turkey-albania/PTbsaUb#id:8078338,albania,block,No information,free-kick,13.1,18.8,0,right-foot,No information,No information,No information,No information,No information,No information,31,No information,1803,18.8,13.1,No information,No information,No information,No information,15,897,shot
burak-yilmaz,https://www.sofascore.com/turkey-albania/PTbsaUb#id:8078338,türkiye,goal,regular,assisted,14.2,55.8,0,right-foot,low-left,0,52.8,11.4,No information,No information,21,No information,1249,55.8,14.2,47.2,0,47.2,88.6,25,1451,shot
ivan-balliu,https://www.sofascore.com/turkey-albania/PTbsaUb#id:8078338,albania,save,No information,assisted,14.2,60.5,0,right-foot,low-centre,0,49.7,3.2,No information,No information,20,No information,1163,60.5,14.2,50.3,0,50.3,96.8,26,1537,shot
bekim-balaj,https://www.sofascore.com/turkey-albania/PTbsaUb#id:8078338,albania,miss,No information,assisted,13.3,37,0,right-foot,right,0,33.8,9.7,No information,No information,14,No information,822,37,13.3,66.2,0,66.2,90.3,32,1878,shot
ardian-ismajli,https://www.sofascore.com/turkey-albania/PTbsaUb#id:8078338,albania,miss,No information,set-piece,10.6,47.9,0,head,right,0,38.3,8.3,No information,No information,2,No information,116,47.9,10.6,61.7,0,61.7,91.7,44,2584,shot
ledian-memushaj,https://www.sofascore.com/turkey-albania/PTbsaUb#id:8078338,albania,block,No information,assisted,22.6,65.7,0,left-foot,No information,No information,No information,No information,No information,No information,2,No information,63,65.7,22.6,No information,No information,No information,No information,44,2637,shot

endri-cekici,https://www.sofascore.com/poland-albania/PTbsdUb#id:9223783,albania,miss,No information,regular,32.6,55.7,0,right-foot,high-left,0,65.7,52.8,No information,No information,90,3,5555,55.7,32.6,34.3,0,34.3,47.2,1,745,shot
myrto-uzuni,https://www.sofascore.com/poland-albania/PTbsdUb#id:9223783,albania,block,No information,assisted,32.3,38.4,0,right-foot,low-centre,0,50.6,19,No information,No information,90,2,5469,38.4,32.3,49.4,0,49.4,81,1,831,shot
klaus-gjasula,https://www.sofascore.com/poland-albania/PTbsdUb#id:9223783,albania,block,No information,assisted,24.5,61.5,0,right-foot,low-centre,0,48.3,19,No information,No information,90,1,5444,61.5,24.5,51.7,0,51.7,81,1,856,shot
karol-linetty,https://www.sofascore.com/poland-albania/PTbsdUb#id:9223783,poland,goal,regular,assisted,10.1,60,0,right-foot,low-right,0,47.5,3.8,No information,No information,89,No information,5319,60,10.1,52.5,0,52.5,96.2,2,81,shot
robert-lewandowski,https://www.sofascore.com/poland-albania/PTbsdUb#id:9223783,poland,miss,No information,regular,15.2,63,0,right-foot,left,0,65.4,4.2,No information,No information,75,No information,4496,63,15.2,34.6,0,34.6,95.8,16,904,shot
sokol-cikalleshi,https://www.sofascore.com/poland-albania/PTbsdUb#id:9223783,albania,miss,No information,assisted,14.3,41.2,0,head,right,0,38.2,19.4,No information,No information,71,No information,4231,41.2,14.3,61.8,0,61.8,80.6,20,1169,shot
grzegorz-krychowiak,https://www.sofascore.com/poland-albania/PTbsdUb#id:9223783,poland,block,No information,regular,23.4,67.7,0,right-foot,low-centre,0,51,19,No information,No information,61,No information,3628,67.7,23.4,49,0,49,81,30,1772,shot
grzegorz-krychowiak,https://www.sofascore.com/poland-albania/PTbsdUb#id:9223783,poland,goal,regular,assisted,2.3,45.8,0,right-foot,high-left,0,52.4,30.4,No information,No information,54,No information,3226,45.8,2.3,47.6,0,47.6,69.6,37,2174,shot
berat-djimsiti,https://www.sofascore.com/poland-albania/PTbsdUb#id:9223783,albania,miss,No information,regular,27.3,37,0,right-foot,right,0,37.1,31.9,No information,No information,47,No information,2761,37,27.3,62.9,0,62.9,68.1,44,2639,shot
