Player,Game Link,Country,shotType,goalType,situation,X,Y,Z,bodyPart,goalMouthLocation,Goal Mouth X,Goal mouth Y,Goal Mouth Z,XG,XGOT,time,addedTime,timeSeconds,Start X,Start Y,End X,End Y,Goal X,Goal Y,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType
dusan-vlahovic,https://www.sofascore.com/serbia-lithuania/BVbsfCc#id:10752382,serbia,miss,No information,assisted,8.5,51.3,0,head,high,0,50.9,79.2,No information,No information,29,No information,1725,51.3,8.5,49.1,0,49.1,20.8,17,975,shot
gytis-paulauskas,https://www.sofascore.com/serbia-lithuania/BVbsfCc#id:10752382,lithuania,miss,No information,assisted,8.1,53.1,0,right-foot,close-high,0,47.1,54.2,No information,No information,28,No information,1640,53.1,8.1,52.9,0,52.9,45.8,18,1060,shot
marko-grujic,https://www.sofascore.com/serbia-lithuania/BVbsfCc#id:10752382,serbia,miss,No information,assisted,20.2,47.6,0,right-foot,left,0,64.5,4.2,No information,No information,25,No information,1464,47.6,20.2,35.5,0,35.5,95.8,21,1236,shot
aleksandar-mitrovic,https://www.sofascore.com/serbia-lithuania/BVbsfCc#id:10752382,serbia,miss,No information,corner,7.8,56.3,0,head,high,0,47.1,79.2,No information,No information,22,No information,1272,56.3,7.8,52.9,0,52.9,20.8,24,1428,shot
gineitis-gvidas,https://www.sofascore.com/serbia-lithuania/BVbsfCc#id:10752382,lithuania,miss,No information,assisted,29.5,57.9,0,left-foot,high-left,0,59.8,59.7,No information,No information,17,No information,995,57.9,29.5,40.2,0,40.2,40.3,29,1705,shot
dusan-tadic,https://www.sofascore.com/serbia-lithuania/BVbsfCc#id:10752382,serbia,goal,regular,assisted,9.6,40.9,0,left-foot,low-right,0,47.7,3.8,No information,No information,16,No information,923,40.9,9.6,52.3,0,52.3,96.2,30,1777,shot
dusan-vlahovic,https://www.sofascore.com/serbia-lithuania/BVbsfCc#id:10752382,serbia,save,No information,assisted,8.6,62.6,0,right-foot,low-right,0,46.8,4.4,No information,No information,14,No information,807,62.6,8.6,53.2,0,53.2,95.6,32,1893,shot
jankauskas-eligijus,https://www.sofascore.com/serbia-lithuania/BVbsfCc#id:10752382,lithuania,miss,No information,assisted,15.5,37.9,0,head,close-left,0,58.2,33.3,No information,No information,2,No information,68,37.9,15.5,41.8,0,41.8,66.7,44,2632,shot

filip-kostic,https://www.sofascore.com/montenegro-serbia/fCcsORc#id:10752549,serbia,miss,No information,assisted,23.5,32.2,0,left-foot,close-right,0,40.8,1.4,No information,No information,90,4,5634,32.2,23.5,59.2,0,59.2,98.6,1,666,shot
lazar-samardzic,https://www.sofascore.com/montenegro-serbia/fCcsORc#id:10752549,serbia,block,No information,assisted,24.9,68.6,0,left-foot,low-centre,0,50.7,19,No information,No information,90,4,5627,68.6,24.9,49.3,0,49.3,81,1,673,shot
filip-kostic,https://www.sofascore.com/montenegro-serbia/fCcsORc#id:10752549,serbia,miss,No information,free-kick,29.8,42.1,0,left-foot,close-right,0,42.5,4.2,No information,No information,90,1,5405,42.1,29.8,57.5,0,57.5,95.8,1,895,shot
stevan-jovetic,https://www.sofascore.com/montenegro-serbia/fCcsORc#id:10752549,montenegro,miss,No information,assisted,26.6,40.8,0,right-foot,right,0,39.3,18.1,No information,No information,86,No information,5102,40.8,26.6,60.7,0,60.7,81.9,5,298,shot
milos-raickovic,https://www.sofascore.com/montenegro-serbia/fCcsORc#id:10752549,montenegro,block,No information,regular,15,80.4,0,right-foot,low-centre,0,51.5,19,No information,No information,85,No information,5093,80.4,15,48.5,0,48.5,81,6,307,shot
stevan-jovetic,https://www.sofascore.com/montenegro-serbia/fCcsORc#id:10752549,montenegro,block,No information,set-piece,26.4,61.6,0,right-foot,low-right,0,48,19,No information,No information,84,No information,5038,61.6,26.4,52,0,52,81,7,362,shot
aleksandar-mitrovic,https://www.sofascore.com/montenegro-serbia/fCcsORc#id:10752549,serbia,save,No information,assisted,22.5,67.4,0,left-foot,low-centre,0,50.3,7,No information,No information,83,No information,4941,67.4,22.5,49.7,0,49.7,93,8,459,shot
dusan-tadic,https://www.sofascore.com/montenegro-serbia/fCcsORc#id:10752549,serbia,goal,regular,assisted,18.7,46.8,0,right-foot,low-right,0,46.7,1.3,No information,No information,77,No information,4571,46.8,18.7,53.3,0,53.3,98.7,14,829,shot
sergej-milinkovic-savic,https://www.sofascore.com/montenegro-serbia/fCcsORc#id:10752549,serbia,save,No information,assisted,15,49.1,0,right-foot,low-left,0,52.4,4.4,No information,No information,76,No information,4551,49.1,15,47.6,0,47.6,95.6,15,849,shot
aleksandar-mitrovic,https://www.sofascore.com/montenegro-serbia/fCcsORc#id:10752549,serbia,goal,regular,assisted,4.4,50.3,0,right-foot,low-centre,0,50,0.6,No information,No information,74,No information,4383,50.3,4.4,50,0,50,99.4,17,1017,shot
dusan-tadic,https://www.sofascore.com/montenegro-serbia/fCcsORc#id:10752549,serbia,miss,No information,assisted,8.5,47.8,0,head,high,0,52.3,76.4,No information,No information,72,No information,4268,47.8,8.5,47.7,0,47.7,23.6,19,1132,shot
dusan-tadic,https://www.sofascore.com/montenegro-serbia/fCcsORc#id:10752549,serbia,miss,No information,assisted,26.4,54.4,0,left-foot,high-left,0,61,81.9,No information,No information,68,No information,4038,54.4,26.4,39,0,39,18.1,23,1362,shot
sergej-milinkovic-savic,https://www.sofascore.com/montenegro-serbia/fCcsORc#id:10752549,serbia,save,No information,assisted,7.7,42.7,0,head,low-centre,0,49.7,10.8,No information,No information,64,No information,3787,42.7,7.7,50.3,0,50.3,89.2,27,1613,shot
nikola-milenkovic,https://www.sofascore.com/montenegro-serbia/fCcsORc#id:10752549,serbia,miss,No information,corner,8.1,46.6,0,head,right,0,37.6,5.6,No information,No information,62,No information,3672,46.6,8.1,62.4,0,62.4,94.4,29,1728,shot
driton-camaj,https://www.sofascore.com/montenegro-serbia/fCcsORc#id:10752549,montenegro,save,No information,assisted,26.1,31,0,left-foot,high-left,0,53.5,20.9,No information,No information,60,No information,3557,31,26.1,46.5,0,46.5,79.1,31,1843,shot
