Team,Game Link,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Goals prevented,Goalkeeper saves,Goal kicks,Goals,Date
Germany,https://www.sofascore.com/germany-ukraine/bUbslUb#id:11239348,62%,No information,2,27,3,11,12,711,7,4,No information,No information,5,1,13,9,17,10,No information,2,1,44,1,2,658,19,85,12/17 (71%),10/34 (29%),40%,4,17/41 (41%),4/12 (33%),6/8 (75%),71%,7,5,48,13,No information,3,2,3,"12/06/2023, 09:00"
Ukraine,https://www.sofascore.com/germany-ukraine/bUbslUb#id:11239348,38%,No information,0,6,5,2,4,456,6,12,No information,No information,3,0,2,1,5,1,No information,0,0,8,0,1,389,15,33,29/55 (53%),0/5 (0%),60%,5,24/41 (59%),8/12 (67%),7/9 (78%),50%,6,12,38,37,No information,5,14,3,"12/06/2023, 09:00"

Romania,https://www.sofascore.com/ukraine-romania/CObsbUb#id:12198226,29%,1.20,1,9,3,4,9,237,8,8,1,No information,5,1,2,2,3,6,1,No information,No information,10,3,1,170,19,36,15/41 (37%),1/11 (9%),46%,6,27/59 (46%),10/21 (48%),11/22 (50%),38%,8,6,42,31,0.17,3,11,3,"17/06/2024, 06:00"
Ukraine,https://www.sofascore.com/ukraine-romania/CObsbUb#id:12198226,71%,0.75,0,13,2,8,8,591,17,9,1,No information,2,1,5,6,5,8,0,No information,No information,19,3,1,516,13,68,18/37 (49%),1/23 (4%),54%,4,32/59 (54%),11/21 (52%),7/11 (64%),65%,17,5,47,7,-1.42,2,4,0,"17/06/2024, 06:00"

North macedonia,https://www.sofascore.com/north-macedonia-ukraine/bUbsCVb#id:10752416,45%,No information,5,18,5,11,12,353,14,4,2,No information,7,2,8,3,8,10,No information,5,1,No information,2,0,290,21,32,29/48 (60%),3/15 (20%),45%,9,27/69 (39%),12/18 (67%),9/16 (56%),64%,14,9,46,17,No information,5,6,3,"16/06/2023, 11:45"
Ukraine,https://www.sofascore.com/north-macedonia-ukraine/bUbsCVb#id:10752416,55%,No information,2,14,5,3,4,433,16,12,2,No information,5,0,5,4,9,5,No information,2,1,No information,1,1,360,22,55,33/59 (56%),1/14 (7%),55%,7,42/69 (61%),6/18 (33%),14/21 (67%),63%,16,4,52,16,No information,5,10,2,"16/06/2023, 11:45"

Ukraine,https://www.sofascore.com/ukraine-malta/IObsbUb#id:10752441,35%,No information,0,17,5,0,15,339,17,15,1,No information,4,1,8,5,3,14,0,No information,No information,No information,1,0,261,18,48,23/61 (38%),0/11 (0%),48%,7,37/70 (53%),5/18 (28%),6/10 (60%),65%,17,13,66,14,No information,5,7,1,"19/06/2023, 09:00"
Malta,https://www.sofascore.com/ukraine-malta/IObsbUb#id:10752441,65%,No information,1,17,3,4,16,653,11,15,2,No information,7,0,6,4,4,13,1,No information,No information,No information,3,1,574,17,55,45/64 (70%),2/9 (22%),52%,6,33/70 (47%),13/18 (72%),8/19 (42%),73%,11,7,64,10,No information,3,8,0,"19/06/2023, 09:00"

Italy,https://www.sofascore.com/italy-ukraine/bUbshUb#id:10752500,42%,No information,1,7,2,4,14,386,12,8,1,No information,4,0,2,1,3,4,No information,1,0,No information,2,1,312,7,43,19/47 (40%),1/11 (9%),38%,6,24/59 (41%),7/22 (32%),4/11 (36%),75%,12,8,53,24,No information,2,9,2,"12/09/2023, 11:45"
Ukraine,https://www.sofascore.com/italy-ukraine/bUbshUb#id:10752500,58%,No information,2,17,4,9,9,535,13,14,1,No information,2,0,8,7,8,9,No information,2,1,No information,0,3,454,16,51,26/44 (59%),7/21 (33%),62%,3,35/59 (59%),15/22 (68%),8/17 (47%),54%,13,7,56,12,No information,4,5,1,"12/09/2023, 11:45"

Ukraine,https://www.sofascore.com/north-macedonia-ukraine/bUbsCVb#id:10752523,45%,No information,5,18,5,11,12,353,14,4,2,No information,7,2,8,3,8,10,No information,5,1,No information,2,0,290,21,32,29/48 (60%),3/15 (20%),45%,9,27/69 (39%),12/18 (67%),9/16 (56%),64%,14,9,46,17,No information,5,6,2,"14/10/2023, 06:00"
North macedonia,https://www.sofascore.com/north-macedonia-ukraine/bUbsCVb#id:10752523,55%,No information,2,14,5,3,4,433,16,12,2,No information,5,0,5,4,9,5,No information,2,1,No information,1,1,360,22,55,33/59 (56%),1/14 (7%),55%,7,42/69 (61%),6/18 (33%),14/21 (67%),63%,16,4,52,16,No information,5,10,0,"14/10/2023, 06:00"

